code,t_ps,n,concentration,bin_width_ps,dnl_lsb
1,4777.73,1060,1.000,53.54,2.151
2,4732.17,1537,1.000,53.61,2.155
3,4679.48,1462,1.000,50.99,2.001
4,4635.73,1098,1.000,38.30,1.254
6,4598.21,1024,1.000,35.71,1.102
8,4571.43,462,1.000,16.11,-0.052
9,4571.43,50,1.000,1.74,-0.897
10,4553.20,523,1.000,18.24,0.074
11,4535.71,79,1.000,2.76,-0.838
12,4516.75,1446,1.000,50.43,1.969
14,4474.13,929,1.000,32.40,0.907
15,4464.29,67,1.000,2.34,-0.862
16,4464.29,28,1.000,0.98,-0.943
17,4446.43,2,1.000,0.07,-0.996
18,4437.48,1022,1.000,35.64,1.098
20,4392.86,1536,1.000,53.57,2.153
22,4349.33,910,1.000,31.74,0.868
23,4339.29,97,1.000,3.38,-0.801
24,4322.00,529,1.000,18.45,0.086
26,4294.64,1024,1.000,35.71,1.102
30,4258.93,1024,1.000,35.71,1.102
32,4222.53,1051,1.000,36.66,1.158
33,4196.43,485,1.000,16.92,-0.004
34,4175.83,605,1.000,21.10,0.242
35,4160.71,162,1.000,5.65,-0.667
36,4139.30,1281,1.000,44.68,1.630
37,4107.14,1,1.000,0.03,-0.998
38,4090.61,1428,1.000,49.80,1.932
39,4071.43,43,1.000,1.50,-0.912
40,4055.60,562,1.000,19.60,0.154
41,4053.57,14,1.000,0.49,-0.971
42,4033.07,601,1.000,20.96,0.234
43,4017.65,428,1.000,14.93,-0.121
44,4000.00,507,1.000,17.68,0.041
45,3982.14,7,1.000,0.24,-0.986
46,3967.95,1263,1.000,44.05,1.593
47,3946.43,265,1.000,9.24,-0.456
48,3919.67,1025,1.000,35.75,1.104
49,3892.86,512,1.000,17.86,0.051
50,3875.00,512,1.000,17.86,0.051
52,3857.14,15,1.000,0.52,-0.969
53,3857.14,439,1.000,15.31,-0.099
54,3831.79,1082,1.000,37.74,1.221
56,3799.22,677,1.000,23.61,0.390
57,3785.71,151,1.000,5.27,-0.690
58,3769.06,847,1.000,29.54,0.739
59,3750.00,50,1.000,1.74,-0.897
60,3710.11,2435,1.000,84.93,3.999
61,3660.71,41,1.000,1.43,-0.916
62,3641.55,1431,1.000,49.91,1.938
66,3595.83,1124,1.000,39.20,1.307
67,3571.43,60,1.000,2.09,-0.877
68,3565.73,517,1.000,18.03,0.061
69,3553.57,340,1.000,11.86,-0.302
70,3527.52,972,1.000,33.90,0.995
71,3517.86,46,1.000,1.60,-0.906
72,3500.44,525,1.000,18.31,0.078
73,3482.14,8,1.000,0.28,-0.984
