code,t_ps,n,concentration,bin_width_ps,dnl_lsb
1,4758.82,1028,1.000,35.85,1.119
2,4712.81,1596,1.000,55.66,2.289
3,4676.88,495,1.000,17.26,0.020
4,4660.71,460,1.000,16.04,-0.052
5,4639.54,641,1.000,22.36,0.321
6,4625.00,388,1.000,13.53,-0.200
8,4607.14,374,1.000,13.04,-0.229
9,4593.73,554,1.000,19.32,0.142
10,4574.25,608,1.000,21.21,0.253
11,4553.57,1,1.000,0.03,-0.998
12,4539.43,1270,1.000,44.29,1.617
13,4517.86,248,1.000,8.65,-0.489
14,4500.57,529,1.000,18.45,0.090
16,4473.99,942,1.000,32.85,0.941
17,4454.89,173,1.000,6.03,-0.643
18,4436.63,933,1.000,32.54,0.923
20,4410.64,514,1.000,17.93,0.059
21,4392.86,482,1.000,16.81,-0.007
22,4375.93,540,1.000,18.83,0.113
24,4348.62,979,1.000,34.14,1.018
25,4339.29,45,1.000,1.57,-0.907
26,4312.98,972,1.000,33.90,1.003
27,4303.57,52,1.000,1.81,-0.893
28,4272.95,1195,1.000,41.68,1.463
29,4250.00,321,1.000,11.20,-0.338
30,4232.87,490,1.000,17.09,0.010
31,4232.14,42,1.000,1.46,-0.913
32,4214.29,3,1.000,0.10,-0.994
33,4214.29,477,1.000,16.64,-0.017
34,4197.44,545,1.000,19.01,0.123
35,4178.57,9,1.000,0.31,-0.981
36,4152.23,1995,1.000,69.58,3.111
37,4125.00,42,1.000,1.46,-0.913
38,4098.24,1025,1.000,35.75,1.112
39,4071.43,2,1.000,0.07,-0.996
40,4064.14,862,1.000,30.06,0.776
41,4053.57,148,1.000,5.16,-0.695
42,4033.10,628,1.000,21.90,0.294
43,4017.86,408,1.000,14.23,-0.159
44,3991.07,1024,1.000,35.71,1.110
45,3964.29,291,1.000,10.15,-0.400
46,3951.62,739,1.000,25.77,0.523
47,3928.57,30,1.000,1.05,-0.938
48,3928.50,478,1.000,16.67,-0.015
49,3910.71,57,1.000,1.99,-0.883
50,3892.14,1477,1.000,51.51,2.044
52,3857.14,117,1.000,4.08,-0.759
53,3857.10,394,1.000,13.74,-0.188
54,3830.40,1025,1.000,35.75,1.112
55,3803.57,3,1.000,0.10,-0.994
56,3803.57,509,1.000,17.75,0.049
58,3776.79,1024,1.000,35.71,1.110
59,3750.00,13,1.000,0.45,-0.973
60,3734.98,1303,1.000,45.45,1.685
61,3714.29,219,1.000,7.64,-0.549
62,3687.53,1024,1.000,35.71,1.110
63,3678.57,1,1.000,0.03,-0.998
64,3651.43,1037,1.000,36.17,1.137
65,3625.15,122,1.000,4.26,-0.749
66,3616.97,685,1.000,23.89,0.412
67,3607.14,149,1.000,5.20,-0.693
68,3582.91,967,1.000,33.73,0.993
69,3571.43,107,1.000,3.73,-0.779
70,3552.10,569,1.000,19.85,0.173
71,3535.71,454,1.000,15.83,-0.064
72,3511.00,851,1.000,29.68,0.754
73,3500.00,178,1.000,6.21,-0.633
74,3482.19,372,1.000,12.97,-0.233
75,3478.27,180,1.000,6.28,-0.629
76,3455.31,951,1.000,33.17,0.960
77,3446.43,32,1.000,1.12,-0.934
78,3421.44,859,1.000,29.96,0.770
79,3410.71,105,1.000,3.66,-0.784
80,3394.79,574,1.000,20.02,0.183
81,3375.00,21,1.000,0.73,-0.957
82,3366.71,916,1.000,31.95,0.888
83,3344.01,329,1.000,11.47,-0.322
84,3329.18,622,1.000,21.69,0.282
85,3321.43,159,1.000,5.55,-0.672
86,3297.06,809,1.000,28.22,0.667
87,3285.71,142,1.000,4.95,-0.707
88,3266.98,694,1.000,24.20,0.430
89,3250.00,106,1.000,3.70,-0.782
90,3238.24,826,1.000,28.81,0.702
91,3214.29,50,1.000,1.74,-0.897
92,3196.74,1380,1.000,48.13,1.844
93,3178.57,79,1.000,2.76,-0.837
94,3159.41,576,1.000,20.09,0.187
