code,t_ps,n,concentration,bin_width_ps,dnl_lsb
82,4928.51,5,1.000,0.008,-1.000
83,4925.11,4111,1.000,6.802,-0.594
84,4913.19,10294,1.000,17.033,0.016
85,4902.05,3168,1.000,5.242,-0.687
86,4882.65,20278,1.000,33.554,1.002
87,4864.50,1659,1.000,2.745,-0.836
88,4848.32,17901,1.000,29.621,0.768
89,4832.47,1251,1.000,2.070,-0.876
90,4812.99,22298,1.000,36.897,1.202
91,4793.85,838,1.000,1.387,-0.917
92,4772.96,24410,1.000,40.391,1.410
93,4751.76,1220,1.000,2.019,-0.880
94,4736.22,17552,1.000,29.043,0.733
95,4715.33,7698,1.000,12.738,-0.240
96,4707.57,1681,1.000,2.782,-0.834
97,4702.02,5030,1.000,8.323,-0.503
98,4682.18,18958,1.000,31.370,0.872
99,4663.83,3214,1.000,5.318,-0.683
100,4638.40,27524,1.000,45.544,1.718
101,4614.74,1069,1.000,1.769,-0.894
102,4596.91,20488,1.000,33.902,1.023
103,4579.43,634,1.000,1.049,-0.937
104,4565.88,15748,1.000,26.058,0.555
105,4550.44,2914,1.000,4.822,-0.712
106,4532.94,18244,1.000,30.188,0.801
107,4514.11,4514,1.000,7.469,-0.554
108,4497.06,16088,1.000,26.621,0.589
109,4482.99,924,1.000,1.529,-0.909
110,4465.46,20263,1.000,33.529,1.001
111,4447.96,886,1.000,1.466,-0.913
112,4433.66,16399,1.000,27.135,0.619
113,4418.35,2110,1.000,3.491,-0.792
114,4402.11,17508,1.000,28.971,0.729
115,4384.63,3630,1.000,6.007,-0.642
116,4367.93,16545,1.000,27.377,0.634
117,4353.00,1504,1.000,2.489,-0.851
118,4333.32,22287,1.000,36.878,1.201
119,4314.31,685,1.000,1.133,-0.932
120,4288.33,30717,1.000,50.827,2.033
121,4261.35,1897,1.000,3.139,-0.813
122,4243.50,19676,1.000,32.558,0.943
123,4224.23,3609,1.000,5.972,-0.644
124,4220.73,629,1.000,1.041,-0.938
125,4217.11,3741,1.000,6.190,-0.631
126,4199.42,17642,1.000,29.192,0.742
127,4182.06,3348,1.000,5.540,-0.669
128,4161.95,20958,1.000,34.679,1.069
129,4140.47,4994,1.000,8.264,-0.507
130,4123.83,15126,1.000,25.029,0.494
131,4105.66,6832,1.000,11.305,-0.325
132,4081.57,22292,1.000,36.887,1.201
133,4062.45,813,1.000,1.345,-0.920
134,4045.01,20266,1.000,33.534,1.001
135,4025.77,2995,1.000,4.956,-0.704
136,4016.73,7920,1.000,13.105,-0.218
137,4007.23,3569,1.000,5.906,-0.648
138,3987.28,20544,1.000,33.994,1.028
139,3969.39,1082,1.000,1.790,-0.893
140,3946.36,26747,1.000,44.258,1.641
141,3922.54,2043,1.000,3.381,-0.798
142,3902.82,21791,1.000,36.058,1.152
143,3882.63,2614,1.000,4.325,-0.742
144,3866.44,16963,1.000,28.069,0.675
145,3848.00,5315,1.000,8.795,-0.475
146,3831.78,14291,1.000,23.647,0.411
147,3815.26,5682,1.000,9.402,-0.439
148,3791.32,23257,1.000,38.483,1.296
149,3770.29,2153,1.000,3.563,-0.787
150,3751.43,20643,1.000,34.158,1.038
151,3732.76,1930,1.000,3.194,-0.809
152,3729.69,1777,1.000,2.940,-0.825
153,3724.22,4833,1.000,7.997,-0.523
154,3706.70,16341,1.000,27.039,0.613
155,3692.23,1154,1.000,1.910,-0.886
156,3673.94,20944,1.000,34.656,1.068
157,3650.58,7297,1.000,12.074,-0.280
158,3628.72,19123,1.000,31.643,0.888
159,3611.59,1587,1.000,2.626,-0.843
160,3589.88,24648,1.000,40.785,1.434
161,3565.60,4703,1.000,7.782,-0.536
162,3545.44,19666,1.000,32.541,0.942
163,3528.07,1318,1.000,2.181,-0.870
164,3511.11,19188,1.000,31.750,0.895
165,3494.86,451,1.000,0.746,-0.955
166,3480.54,16854,1.000,27.888,0.664
167,3461.85,5744,1.000,9.505,-0.433
168,3449.03,9746,1.000,16.127,-0.038
169,3440.48,584,1.000,0.966,-0.942
170,3422.34,21350,1.000,35.328,1.108
171,3401.03,4405,1.000,7.289,-0.565
172,3383.82,16395,1.000,27.129,0.619
173,3369.92,401,1.000,0.664,-0.960
174,3351.62,21728,1.000,35.953,1.145
175,3333.22,501,1.000,0.829,-0.951
176,3309.94,27646,1.000,45.746,1.730
177,3279.76,8831,1.000,14.613,-0.128
178,3256.09,19774,1.000,32.720,0.952
179,3237.72,2435,1.000,4.029,-0.760
180,3216.20,23573,1.000,39.006,1.328
181,3194.74,2366,1.000,3.915,-0.766
182,3177.62,18319,1.000,30.312,0.809
183,3160.43,2463,1.000,4.076,-0.757
184,3143.66,17802,1.000,29.457,0.758
185,3126.15,3366,1.000,5.570,-0.668
186,3107.95,18632,1.000,30.830,0.840
187,3091.33,1452,1.000,2.403,-0.857
188,3081.36,10606,1.000,17.550,0.047
