code,t_ps,n,concentration,bin_width_ps,dnl_lsb
88,4998.04,2603,1.000,3.924,-0.765
89,4992.26,5061,1.000,7.629,-0.542
90,4974.89,17986,1.000,27.112,0.627
91,4960.42,1212,1.000,1.827,-0.890
92,4937.12,29702,1.000,44.773,1.686
93,4913.29,1911,1.000,2.881,-0.827
94,4896.04,20985,1.000,31.633,0.898
95,4876.68,4694,1.000,7.076,-0.575
96,4859.82,17684,1.000,26.657,0.599
97,4845.86,832,1.000,1.254,-0.925
98,4826.71,24576,1.000,37.046,1.223
99,4806.84,1790,1.000,2.698,-0.838
100,4800.98,5980,1.000,9.014,-0.459
101,4791.90,6067,1.000,9.145,-0.451
102,4777.80,12650,1.000,19.069,0.144
103,4763.44,6403,1.000,9.652,-0.421
104,4734.58,31879,1.000,48.054,1.883
105,4706.42,5487,1.000,8.271,-0.504
106,4691.03,14936,1.000,22.515,0.351
107,4676.93,3775,1.000,5.690,-0.659
108,4658.53,20629,1.000,31.096,0.866
109,4640.30,3563,1.000,5.371,-0.678
110,4622.84,19596,1.000,29.539,0.772
111,4607.44,839,1.000,1.265,-0.924
112,4594.63,16165,1.000,24.367,0.462
113,4579.74,3580,1.000,5.396,-0.676
114,4561.62,20473,1.000,30.861,0.851
115,4543.90,3026,1.000,4.561,-0.726
116,4537.73,5164,1.000,7.784,-0.533
117,4533.27,759,1.000,1.144,-0.931
118,4518.45,18905,1.000,28.497,0.710
119,4496.20,10615,1.000,16.001,-0.040
120,4462.06,34674,1.000,52.268,2.136
121,4434.94,1308,1.000,1.972,-0.882
122,4418.32,20742,1.000,31.267,0.876
123,4402.34,463,1.000,0.698,-0.958
124,4365.62,48252,1.000,72.735,3.364
125,4326.51,3651,1.000,5.504,-0.670
126,4308.12,20749,1.000,31.277,0.876
127,4292.15,437,1.000,0.659,-0.960
128,4291.54,374,1.000,0.564,-0.966
129,4290.83,559,1.000,0.843,-0.949
130,4273.87,21945,1.000,33.080,0.985
131,4256.29,1381,1.000,2.082,-0.875
132,4221.98,44146,1.000,66.546,2.992
133,4186.06,3502,1.000,5.279,-0.683
134,4169.11,18993,1.000,28.630,0.718
135,4152.12,3555,1.000,5.359,-0.679
136,4149.13,403,1.000,0.607,-0.964
137,4148.83,0,1.000,0.000,-1.000
138,4134.11,19532,1.000,29.443,0.766
139,4117.80,2100,1.000,3.166,-0.810
