code,t_ps,n,concentration,bin_width_ps,dnl_lsb
96,4588.59,32,1.000,0.048,-0.997
97,4585.85,3608,1.000,5.439,-0.676
98,4567.44,20813,1.000,31.374,0.868
99,4549.13,3489,1.000,5.259,-0.687
100,4523.30,30776,1.000,46.392,1.762
101,4499.25,1139,1.000,1.717,-0.898
102,4481.53,22366,1.000,33.715,1.007
103,4464.16,687,1.000,1.036,-0.938
104,4433.64,39799,1.000,59.993,2.572
105,4401.14,3320,1.000,5.005,-0.702
106,4383.46,20137,1.000,30.355,0.807
107,4367.95,451,1.000,0.680,-0.960
108,4366.96,860,1.000,1.296,-0.923
109,4366.31,0,1.000,0.000,-1.000
110,4349.54,22253,1.000,33.544,0.997
111,4331.84,1225,1.000,1.847,-0.890
112,4317.20,18195,1.000,27.427,0.633
113,4302.04,1927,1.000,2.905,-0.827
114,4285.98,19374,1.000,29.204,0.739
115,4268.40,3952,1.000,5.957,-0.645
116,4251.71,18191,1.000,27.421,0.633
117,4236.77,1637,1.000,2.468,-0.853
118,4216.99,24605,1.000,37.090,1.208
119,4197.86,773,1.000,1.165,-0.931
120,4172.01,33527,1.000,50.539,2.009
121,4145.28,1934,1.000,2.915,-0.826
122,4127.28,21958,1.000,33.100,0.971
123,4107.85,3814,1.000,5.749,-0.658
124,4104.41,758,1.000,1.143,-0.932
125,4100.69,4176,1.000,6.295,-0.625
126,4083.22,19003,1.000,28.645,0.705
127,4066.06,3756,1.000,5.662,-0.663
128,4045.94,22941,1.000,34.581,1.059
129,4024.43,5599,1.000,8.440,-0.498
130,4007.82,16440,1.000,24.782,0.475
131,3989.77,7516,1.000,11.330,-0.325
132,3965.76,24338,1.000,36.687,1.184
133,3946.64,1023,1.000,1.542,-0.908
134,3928.98,22407,1.000,33.776,1.011
135,3909.52,3412,1.000,5.143,-0.694
136,3900.21,8940,1.000,13.476,-0.198
137,3890.63,3774,1.000,5.689,-0.661
138,3871.04,22216,1.000,33.488,0.994
139,3853.39,1207,1.000,1.819,-0.892
140,3830.30,29433,1.000,44.367,1.641
141,3806.38,2295,1.000,3.459,-0.794
142,3786.46,24135,1.000,36.381,1.166
143,3766.13,2843,1.000,4.286,-0.745
144,3750.22,18258,1.000,27.522,0.639
145,3731.92,6027,1.000,9.085,-0.459
146,3715.39,15904,1.000,23.974,0.427
147,3698.77,6145,1.000,9.263,-0.449
148,3674.99,25416,1.000,38.312,1.281
149,3654.20,2168,1.000,3.268,-0.805
150,3635.53,22599,1.000,34.066,1.028
151,3616.76,2307,1.000,3.478,-0.793
152,3613.35,2215,1.000,3.339,-0.801
153,3607.91,5005,1.000,7.545,-0.551
154,3590.77,17730,1.000,26.726,0.591
155,3576.40,1333,1.000,2.009,-0.880
156,3557.90,23222,1.000,35.005,1.084
157,3534.45,7892,1.000,11.896,-0.292
158,3512.71,20947,1.000,31.576,0.880
159,3495.54,1834,1.000,2.765,-0.835
160,3473.40,27536,1.000,41.508,1.471
161,3448.58,5395,1.000,8.132,-0.516
162,3428.37,21424,1.000,32.295,0.923
163,3411.04,1570,1.000,2.367,-0.859
164,3394.47,20417,1.000,30.777,0.832
165,3378.56,686,1.000,1.034,-0.938
166,3363.97,18677,1.000,28.154,0.676
167,3345.19,6238,1.000,9.403,-0.440
168,3332.49,10614,1.000,16.000,-0.047
169,3323.92,757,1.000,1.141,-0.932
170,3305.63,23512,1.000,35.442,1.110
171,3284.39,4670,1.000,7.040,-0.581
172,3267.34,17951,1.000,27.059,0.611
173,3253.51,390,1.000,0.588,-0.965
174,3235.36,23694,1.000,35.716,1.126
175,3217.18,429,1.000,0.647,-0.962
176,3194.16,30118,1.000,45.400,1.703
177,3164.15,9700,1.000,14.622,-0.129
