code,t_ps,n,concentration,bin_width_ps,dnl_lsb
52,4988.65,14417,1.000,22.705,0.358
53,4974.08,4082,1.000,6.429,-0.616
54,4954.16,21219,1.000,33.418,0.998
55,4937.08,467,1.000,0.735,-0.956
56,4936.30,529,1.000,0.833,-0.950
57,4934.01,2370,1.000,3.732,-0.777
58,4918.19,17719,1.000,27.906,0.669
59,4903.97,347,1.000,0.546,-0.967
60,4866.87,46768,1.000,73.655,3.405
61,4829.74,386,1.000,0.608,-0.964
62,4821.61,9928,1.000,15.636,-0.065
63,4811.59,2801,1.000,4.411,-0.736
64,4802.77,8401,1.000,13.231,-0.209
65,4796.16,0,1.000,0.000,-1.000
66,4785.32,13756,1.000,21.664,0.296
67,4774.11,487,1.000,0.767,-0.954
68,4765.14,10897,1.000,17.162,0.026
69,4753.63,3719,1.000,5.857,-0.650
70,4733.69,21614,1.000,34.040,1.036
71,4715.67,1270,1.000,2.000,-0.880
72,4697.72,21515,1.000,33.884,1.026
73,4677.13,4635,1.000,7.300,-0.563
74,4657.09,20814,1.000,32.780,0.960
75,4638.16,3225,1.000,5.079,-0.696
76,4631.99,4615,1.000,7.268,-0.565
77,4626.74,2048,1.000,3.225,-0.807
78,4606.88,23177,1.000,36.501,1.183
79,4586.17,3124,1.000,4.920,-0.706
80,4576.83,8735,1.000,13.757,-0.177
81,4566.91,3864,1.000,6.085,-0.636
82,4550.03,17577,1.000,27.682,0.655
83,4531.63,5784,1.000,9.109,-0.455
84,4501.55,32420,1.000,51.058,2.053
85,4473.89,2695,1.000,4.244,-0.746
86,4456.85,18950,1.000,29.844,0.785
87,4441.18,949,1.000,1.495,-0.911
88,4426.56,17615,1.000,27.742,0.659
89,4408.68,5099,1.000,8.030,-0.520
90,4391.48,16740,1.000,26.364,0.577
91,4377.34,1216,1.000,1.915,-0.885
92,4354.09,28310,1.000,44.585,1.666
93,4330.51,1635,1.000,2.575,-0.846
94,4313.74,19665,1.000,30.970,0.852
95,4294.75,4444,1.000,6.999,-0.581
96,4277.90,16964,1.000,26.717,0.598
97,4263.89,826,1.000,1.301,-0.922
98,4244.80,23413,1.000,36.873,1.205
99,4224.98,1761,1.000,2.773,-0.834
100,4219.14,5650,1.000,8.898,-0.468
101,4210.02,5934,1.000,9.345,-0.441
102,4195.96,11916,1.000,18.766,0.122
103,4181.75,6137,1.000,9.665,-0.422
104,4153.06,30298,1.000,47.716,1.853
105,4125.12,5185,1.000,8.166,-0.512
106,4109.51,14633,1.000,23.045,0.378
107,4095.11,3648,1.000,5.745,-0.656
108,4076.49,20001,1.000,31.499,0.884
109,4058.13,3320,1.000,5.229,-0.687
110,4040.61,18928,1.000,29.810,0.783
111,4025.04,844,1.000,1.329,-0.921
112,4012.06,15637,1.000,24.627,0.473
113,3997.06,3412,1.000,5.374,-0.679
114,3978.47,20193,1.000,31.802,0.902
115,3960.40,2754,1.000,4.337,-0.741
116,3954.29,5010,1.000,7.890,-0.528
117,3949.79,708,1.000,1.115,-0.933
118,3935.20,17823,1.000,28.069,0.679
119,3913.27,10018,1.000,15.777,-0.057
120,3862.28,54734,1.000,86.200,4.155
121,3818.15,1310,1.000,2.063,-0.877
122,3801.63,19678,1.000,30.991,0.853
123,3785.86,342,1.000,0.539,-0.968
124,3765.86,25052,1.000,39.454,1.359
125,3743.41,3462,1.000,5.452,-0.674
126,3725.16,19715,1.000,31.049,0.857
127,3709.24,503,1.000,0.792,-0.953
128,3708.49,447,1.000,0.704,-0.958
129,3707.66,603,1.000,0.950,-0.943
130,3690.41,21307,1.000,33.556,1.007
131,3672.56,1362,1.000,2.145,-0.872
132,3638.13,42360,1.000,66.713,2.989
