code,t_ps,n,concentration,bin_width_ps,dnl_lsb
52,4579.93,11717,1.000,18.453,0.134
53,4567.74,3759,1.000,5.920,-0.636
54,4553.49,14345,1.000,22.592,0.388
55,4540.28,2424,1.000,3.818,-0.765
56,4534.37,5087,1.000,8.011,-0.508
57,4528.69,2117,1.000,3.334,-0.795
58,4516.37,13530,1.000,21.308,0.309
59,4504.00,2186,1.000,3.443,-0.789
60,4485.05,21869,1.000,34.441,1.116
61,4465.31,3208,1.000,5.052,-0.690
62,4448.27,18423,1.000,29.014,0.782
63,4433.20,724,1.000,1.140,-0.930
64,4415.91,21225,1.000,33.427,1.053
65,4398.14,1352,1.000,2.129,-0.869
66,4379.73,22019,1.000,34.678,1.130
67,4361.21,1502,1.000,2.365,-0.855
68,4345.78,18095,1.000,28.498,0.751
69,4329.56,2504,1.000,3.944,-0.758
70,4311.41,20542,1.000,32.351,0.987
71,4291.83,4321,1.000,6.805,-0.582
72,4273.79,18595,1.000,29.285,0.799
73,4256.64,3180,1.000,5.008,-0.692
74,4240.84,16883,1.000,26.589,0.633
75,4223.06,5693,1.000,8.966,-0.449
76,4208.20,13190,1.000,20.773,0.276
77,4196.17,2085,1.000,3.284,-0.798
78,4179.26,19383,1.000,30.526,0.875
79,4163.14,1088,1.000,1.713,-0.895
80,4151.35,13889,1.000,21.874,0.344
81,4139.10,1663,1.000,2.619,-0.839
82,4121.59,20581,1.000,32.413,0.991
83,4100.19,6594,1.000,10.385,-0.362
84,4090.18,6112,1.000,9.626,-0.409
85,4085.37,0,1.000,0.000,-1.000
86,4085.37,0,1.000,0.000,-1.000
87,4085.37,0,1.000,0.000,-1.000
88,4085.37,1,1.000,0.002,-1.000
89,4085.37,0,1.000,0.000,-1.000
90,4085.37,0,1.000,0.000,-1.000
91,4085.37,0,1.000,0.000,-1.000
92,4071.48,17641,1.000,27.783,0.707
93,4056.64,1199,1.000,1.888,-0.884
94,4040.92,18760,1.000,29.545,0.815
95,4019.61,8312,1.000,13.091,-0.196
96,4011.75,1661,1.000,2.616,-0.839
97,4006.32,5233,1.000,8.241,-0.494
98,3986.23,20279,1.000,31.937,0.962
99,3967.59,3396,1.000,5.348,-0.671
100,3942.23,28808,1.000,45.370,1.787
101,3918.69,1090,1.000,1.717,-0.895
102,3900.85,21563,1.000,33.959,1.086
103,3883.34,679,1.000,1.069,-0.934
104,3852.46,38529,1.000,60.679,2.727
105,3819.70,3084,1.000,4.857,-0.702
106,3802.00,19383,1.000,30.526,0.875
107,3786.26,606,1.000,0.954,-0.941
108,3785.11,865,1.000,1.362,-0.916
109,3784.42,0,1.000,0.000,-1.000
110,3767.80,21111,1.000,33.248,1.042
111,3750.39,1005,1.000,1.583,-0.903
112,3719.17,38634,1.000,60.844,2.738
113,3686.93,2307,1.000,3.633,-0.777
114,3670.50,18565,1.000,29.238,0.796
115,3652.91,3770,1.000,5.937,-0.635
116,3635.49,18357,1.000,28.910,0.776
117,3619.74,1638,1.000,2.580,-0.842
118,3599.99,23448,1.000,36.928,1.268
119,3580.89,799,1.000,1.258,-0.923
120,3572.57,9769,1.000,15.385,-0.055
121,3563.25,2075,1.000,3.268,-0.799
122,3545.44,20535,1.000,32.340,0.987
123,3526.35,3712,1.000,5.846,-0.641
124,3522.87,707,1.000,1.113,-0.932
125,3519.20,3950,1.000,6.221,-0.618
126,3501.48,18557,1.000,29.225,0.795
127,3484.07,3547,1.000,5.586,-0.657
128,3446.85,43720,1.000,68.854,3.230
129,3408.35,5177,1.000,8.153,-0.499
130,3391.72,15933,1.000,25.093,0.541
131,3373.45,7270,1.000,11.449,-0.297
132,3366.15,2003,1.000,3.155,-0.806
133,3363.92,829,1.000,1.306,-0.920
134,3346.32,21527,1.000,33.903,1.083
135,3326.85,3196,1.000,5.033,-0.691
136,3301.52,28966,1.000,45.618,1.802
137,3275.88,3603,1.000,5.674,-0.651
138,3256.23,21346,1.000,33.618,1.065
139,3238.47,1208,1.000,1.902,-0.883
140,3231.76,7314,1.000,11.519,-0.292
141,3224.35,2095,1.000,3.299,-0.797
142,3204.63,22952,1.000,36.147,1.220
143,3184.36,2785,1.000,4.386,-0.731
144,3168.27,17646,1.000,27.791,0.707
145,3149.95,5623,1.000,8.856,-0.456
146,3133.68,15034,1.000,23.677,0.454
147,3117.15,5968,1.000,9.399,-0.423
148,3093.52,24031,1.000,37.846,1.325
149,3072.90,2153,1.000,3.391,-0.792
150,3053.76,22161,1.000,34.901,1.144
151,3034.84,1865,1.000,2.937,-0.820
152,3031.74,2071,1.000,3.262,-0.800
153,3026.01,5200,1.000,8.189,-0.497
154,3008.62,16891,1.000,26.602,0.634
155,2994.30,1295,1.000,2.039,-0.875
156,2975.87,22110,1.000,34.821,1.139
157,2952.41,7676,1.000,12.089,-0.257
158,2930.68,19919,1.000,31.370,0.927
159,2913.73,1609,1.000,2.534,-0.844
160,2892.04,25937,1.000,40.848,1.509
161,2867.44,5301,1.000,8.349,-0.487
162,2847.06,20578,1.000,32.408,0.991
163,2829.71,1457,1.000,2.295,-0.859
164,2812.69,20164,1.000,31.756,0.951
165,2796.37,558,1.000,0.879,-0.946
166,2781.82,17922,1.000,28.225,0.734
167,2763.00,5975,1.000,9.410,-0.422
