code,t_ps,n,concentration,bin_width_ps,dnl_lsb
52,4999.99,9,1.000,0.014,-0.999
53,4999.78,267,1.000,0.410,-0.975
54,4986.02,17664,1.000,27.114,0.621
55,4970.04,3162,1.000,4.854,-0.710
56,4953.52,18352,1.000,28.170,0.685
57,4938.91,687,1.000,1.055,-0.937
58,4922.43,20781,1.000,31.899,0.908
59,4906.16,423,1.000,0.649,-0.961
60,4884.88,27308,1.000,41.918,1.507
61,4863.61,404,1.000,0.620,-0.963
62,4846.72,21597,1.000,33.151,0.982
63,4827.52,3419,1.000,5.248,-0.686
64,4820.26,6049,1.000,9.285,-0.445
65,4813.37,2928,1.000,4.494,-0.731
66,4793.52,22928,1.000,35.194,1.105
67,4775.57,462,1.000,0.709,-0.958
68,4767.20,10437,1.000,16.021,-0.042
69,4756.14,3985,1.000,6.117,-0.634
70,4736.07,22158,1.000,34.012,1.034
71,4717.89,1532,1.000,2.352,-0.859
72,4699.21,22803,1.000,35.002,1.093
73,4677.96,4893,1.000,7.511,-0.551
74,4657.68,21519,1.000,33.032,0.975
75,4638.59,3364,1.000,5.164,-0.691
76,4632.66,4364,1.000,6.699,-0.599
77,4627.79,1972,1.000,3.027,-0.819
78,4608.21,23547,1.000,36.145,1.161
79,4587.63,3270,1.000,5.019,-0.700
80,4578.30,8879,1.000,13.629,-0.185
81,4568.41,4009,1.000,6.154,-0.632
82,4551.33,18243,1.000,28.003,0.675
83,4532.93,5732,1.000,8.799,-0.474
84,4502.94,33345,1.000,51.184,2.061
85,4475.31,2650,1.000,4.068,-0.757
86,4458.45,19327,1.000,29.667,0.774
87,4442.79,1074,1.000,1.649,-0.901
88,4428.78,17180,1.000,26.371,0.577
89,4411.56,5253,1.000,8.063,-0.518
90,4393.98,17650,1.000,27.093,0.620
91,4379.40,1353,1.000,2.077,-0.876
92,4356.04,29081,1.000,44.639,1.669
93,4332.23,1941,1.000,2.979,-0.822
94,4315.13,20340,1.000,31.222,0.867
95,4296.04,4532,1.000,6.957,-0.584
96,4279.04,17617,1.000,27.042,0.617
97,4265.00,683,1.000,1.048,-0.937
98,4245.80,24334,1.000,37.353,1.234
99,4225.72,1818,1.000,2.791,-0.833
100,4219.84,5854,1.000,8.986,-0.463
101,4210.63,6146,1.000,9.434,-0.436
102,4196.31,12513,1.000,19.207,0.149
103,4182.00,6125,1.000,9.402,-0.438
104,4137.64,51668,1.000,79.310,3.743
105,4093.77,5500,1.000,8.442,-0.495
106,4078.35,14583,1.000,22.385,0.339
107,4064.90,2949,1.000,4.527,-0.729
108,4062.12,674,1.000,1.035,-0.938
109,4059.29,3016,1.000,4.630,-0.723
110,4042.13,19341,1.000,29.688,0.775
111,4026.57,932,1.000,1.431,-0.914
112,4013.52,16064,1.000,24.658,0.475
113,3998.39,3659,1.000,5.617,-0.664
114,3979.97,20339,1.000,31.220,0.867
115,3962.12,2921,1.000,4.484,-0.732
116,3955.80,5304,1.000,8.142,-0.513
117,3951.18,717,1.000,1.101,-0.934
118,3936.42,18516,1.000,28.422,0.700
119,3914.25,10375,1.000,15.926,-0.048
120,3880.47,33632,1.000,51.625,2.087
121,3853.71,1237,1.000,1.899,-0.886
122,3837.13,20364,1.000,31.259,0.869
123,3821.08,544,1.000,0.835,-0.950
124,3800.53,26234,1.000,40.269,1.408
125,3777.60,3642,1.000,5.590,-0.666
126,3758.89,20733,1.000,31.825,0.903
127,3742.36,805,1.000,1.236,-0.926
128,3726.03,20477,1.000,31.432,0.880
129,3709.83,634,1.000,0.973,-0.942
130,3692.10,22458,1.000,34.473,1.061
131,3673.77,1427,1.000,2.190,-0.869
132,3639.14,43702,1.000,67.082,3.012
133,3602.83,3601,1.000,5.528,-0.669
134,3586.09,18211,1.000,27.954,0.672
