code,t_ps,n,concentration,bin_width_ps,dnl_lsb
52,4716.58,1,1.000,0.002,-1.000
53,4716.50,106,1.000,0.163,-0.990
54,4703.31,17081,1.000,26.219,0.568
55,4688.55,2142,1.000,3.288,-0.803
56,4679.19,10061,1.000,15.444,-0.076
57,4669.58,2461,1.000,3.778,-0.774
58,4651.07,21656,1.000,33.242,0.988
59,4632.78,2168,1.000,3.328,-0.801
60,4614.36,21837,1.000,33.520,1.004
61,4595.07,3301,1.000,5.067,-0.697
62,4578.21,18656,1.000,28.637,0.712
63,4563.32,747,1.000,1.147,-0.931
64,4545.77,22117,1.000,33.949,1.030
65,4527.71,1425,1.000,2.187,-0.869
66,4509.40,22423,1.000,34.419,1.058
67,4491.25,1224,1.000,1.879,-0.888
68,4475.65,19102,1.000,29.321,0.753
69,4459.11,2448,1.000,3.758,-0.775
70,4440.99,21170,1.000,32.496,0.943
71,4421.39,4358,1.000,6.690,-0.600
72,4403.46,19003,1.000,29.170,0.744
73,4386.13,3586,1.000,5.504,-0.671
74,4370.19,17180,1.000,26.371,0.577
75,4352.57,5783,1.000,8.877,-0.469
76,4338.08,13092,1.000,20.096,0.202
77,4326.43,2081,1.000,3.194,-0.809
78,4309.16,20426,1.000,31.354,0.875
79,4292.77,934,1.000,1.434,-0.914
80,4280.92,14499,1.000,22.256,0.331
81,4268.48,1715,1.000,2.633,-0.843
82,4250.84,21260,1.000,32.634,0.952
83,4229.26,6867,1.000,10.541,-0.370
84,4215.22,11423,1.000,17.534,0.049
85,4203.75,3521,1.000,5.405,-0.677
86,4184.23,21915,1.000,33.639,1.012
87,4166.01,1826,1.000,2.803,-0.832
88,4149.84,19243,1.000,29.538,0.766
89,4134.03,1345,1.000,2.065,-0.877
90,4114.42,24209,1.000,37.161,1.222
91,4095.07,1003,1.000,1.540,-0.908
92,4074.22,26159,1.000,40.154,1.401
93,4053.22,1215,1.000,1.865,-0.888
94,4037.59,19139,1.000,29.378,0.757
95,4016.37,8517,1.000,13.074,-0.218
96,4008.71,1462,1.000,2.244,-0.866
97,4003.37,5493,1.000,8.432,-0.496
98,3983.35,20592,1.000,31.609,0.890
99,3964.90,3446,1.000,5.290,-0.684
100,3939.48,29676,1.000,45.553,1.724
101,3915.79,1190,1.000,1.827,-0.891
102,3898.00,21989,1.000,33.753,1.018
103,3880.74,507,1.000,0.778,-0.953
104,3866.97,17423,1.000,26.744,0.599
105,3851.03,3350,1.000,5.142,-0.692
106,3833.15,19943,1.000,30.612,0.831
107,3814.08,4915,1.000,7.544,-0.549
108,3780.77,38479,1.000,59.065,2.532
109,3750.44,1039,1.000,1.595,-0.905
110,3734.94,19157,1.000,29.406,0.758
111,3718.56,2190,1.000,3.362,-0.799
112,3716.38,651,1.000,0.999,-0.940
113,3715.18,911,1.000,1.398,-0.916
114,3700.77,17856,1.000,27.409,0.639
115,3683.98,4025,1.000,6.178,-0.631
116,3666.74,18435,1.000,28.298,0.692
117,3651.33,1650,1.000,2.533,-0.849
118,3631.39,24324,1.000,37.337,1.233
119,3611.96,1000,1.000,1.535,-0.908
120,3570.22,53380,1.000,81.938,3.900
121,3527.81,1875,1.000,2.878,-0.828
122,3522.55,4980,1.000,7.644,-0.543
123,3515.15,4657,1.000,7.148,-0.573
124,3502.39,11976,1.000,18.383,0.099
125,3489.99,4175,1.000,6.409,-0.617
126,3484.97,2368,1.000,3.635,-0.783
127,3480.34,3670,1.000,5.633,-0.663
128,3442.64,45446,1.000,69.759,3.172
129,3403.75,5220,1.000,8.013,-0.521
130,3387.10,16475,1.000,25.289,0.512
131,3368.76,7424,1.000,11.396,-0.319
132,3361.34,2246,1.000,3.448,-0.794
133,3358.93,894,1.000,1.372,-0.918
134,3341.09,22355,1.000,34.315,1.052
135,3321.41,3278,1.000,5.032,-0.699
136,3312.31,8585,1.000,13.178,-0.212
137,3302.68,3955,1.000,6.071,-0.637
138,3283.02,21660,1.000,33.248,0.988
139,3265.46,1218,1.000,1.870,-0.888
140,3242.31,28947,1.000,44.433,1.657
141,3218.52,2048,1.000,3.144,-0.812
142,3198.80,23652,1.000,36.306,1.171
143,3178.55,2735,1.000,4.198,-0.749
144,3162.54,18126,1.000,27.823,0.664
145,3144.08,5926,1.000,9.096,-0.456
146,3127.65,15483,1.000,23.766,0.421
