code,t_ps,n,concentration,bin_width_ps,dnl_lsb
88,4998.03,2348,1.000,3.947,-0.763
89,4991.89,4956,1.000,8.331,-0.500
90,4974.49,15742,1.000,26.463,0.587
91,4960.22,1237,1.000,2.079,-0.875
92,4936.82,26604,1.000,44.722,1.682
93,4912.98,1757,1.000,2.954,-0.823
94,4895.91,18550,1.000,31.183,0.870
95,4876.80,4188,1.000,7.040,-0.578
96,4860.05,15744,1.000,26.466,0.587
97,4846.11,834,1.000,1.402,-0.916
98,4826.91,22012,1.000,37.003,1.219
99,4806.93,1754,1.000,2.949,-0.823
100,4801.09,5200,1.000,8.741,-0.476
101,4792.18,5397,1.000,9.073,-0.456
102,4778.07,11392,1.000,19.150,0.149
103,4763.77,5626,1.000,9.458,-0.433
104,4734.90,28721,1.000,48.281,1.896
105,4706.56,4988,1.000,8.385,-0.497
106,4690.95,13591,1.000,22.847,0.370
107,4676.67,3394,1.000,5.705,-0.658
108,4658.22,18564,1.000,31.207,0.872
109,4640.00,3106,1.000,5.221,-0.687
110,4622.61,17582,1.000,29.556,0.773
111,4607.19,773,1.000,1.299,-0.922
112,4594.02,14888,1.000,25.027,0.501
113,4578.91,3096,1.000,5.205,-0.688
114,4560.49,18815,1.000,31.629,0.897
115,4542.48,2612,1.000,4.391,-0.737
116,4536.39,4628,1.000,7.780,-0.533
117,4531.93,678,1.000,1.140,-0.932
118,4517.11,16962,1.000,28.514,0.710
119,4494.72,9674,1.000,16.262,-0.025
120,4460.27,31313,1.000,52.638,2.157
121,4433.02,1105,1.000,1.858,-0.889
122,4416.64,18380,1.000,30.898,0.853
123,4400.93,321,1.000,0.540,-0.968
124,4364.69,42788,1.000,71.928,3.314
125,4325.97,3285,1.000,5.522,-0.669
126,4307.64,18522,1.000,31.136,0.867
127,4291.75,385,1.000,0.647,-0.961
128,4291.09,395,1.000,0.664,-0.960
129,4290.38,450,1.000,0.756,-0.955
130,4273.20,19988,1.000,33.601,1.015
131,4255.35,1252,1.000,2.105,-0.874
132,4220.04,40761,1.000,68.521,3.109
133,4183.04,3252,1.000,5.467,-0.672
134,4166.33,16634,1.000,27.962,0.677
135,4149.87,2941,1.000,4.944,-0.703
136,4147.11,347,1.000,0.583,-0.965
137,4146.82,0,1.000,0.000,-1.000
138,4132.24,17349,1.000,29.164,0.749
139,4116.01,1959,1.000,3.293,-0.802
140,4113.10,1496,1.000,2.515,-0.849
141,4111.06,941,1.000,1.582,-0.905
142,4093.27,20218,1.000,33.987,1.038
143,4075.70,687,1.000,1.155,-0.931
144,4049.82,30103,1.000,50.604,2.035
145,4022.58,2304,1.000,3.873,-0.768
146,4004.89,18749,1.000,31.518,0.890
