code,t_ps,n,concentration,bin_width_ps,dnl_lsb
88,3250.00,7,1.000,0.08,-0.995
89,3250.00,1561,1.000,17.04,0.016
90,3232.43,4199,1.000,15.91,-0.052
91,3232.09,657,1.000,2.41,-0.856
92,3198.63,13194,1.000,48.44,1.888
93,3178.57,1088,1.000,3.99,-0.762
94,3157.68,6792,1.000,24.94,0.486
95,3140.98,3681,1.000,13.51,-0.194
96,3115.97,9171,1.000,33.67,1.007
97,3106.23,177,1.000,0.65,-0.961
98,3080.24,9820,1.000,36.05,1.149
99,3053.57,1029,1.000,3.78,-0.775
100,3053.57,3757,1.000,13.79,-0.178
101,3035.86,858,1.000,3.15,-0.812
102,3028.80,6548,1.000,24.04,0.433
103,3017.45,2383,1.000,8.75,-0.478
104,2985.76,12044,1.000,44.22,1.636
105,2964.26,2494,1.000,9.16,-0.454
106,2940.60,7223,1.000,26.52,0.581
107,2928.57,2419,1.000,8.88,-0.471
108,2902.31,9507,1.000,34.90,1.081
109,2888.54,401,1.000,1.47,-0.912
110,2875.01,4770,1.000,17.51,0.044
112,2853.07,6303,1.000,23.14,0.379
113,2839.29,2957,1.000,10.86,-0.353
114,2818.16,7100,1.000,26.07,0.554
115,2803.57,2777,1.000,10.20,-0.392
116,2803.52,320,1.000,1.17,-0.930
117,2785.71,1,1.000,0.00,-1.000
118,2777.48,9018,1.000,33.11,0.974
119,2752.42,5221,1.000,19.17,0.143
120,2714.30,15286,1.000,56.12,2.345
121,2678.57,1097,1.000,4.03,-0.760
122,2666.22,8953,1.000,32.87,0.959
123,2642.86,296,1.000,1.09,-0.935
124,2631.13,9432,1.000,34.63,1.064
125,2607.14,3032,1.000,11.13,-0.336
126,2584.62,9744,1.000,35.77,1.133
127,2571.43,344,1.000,1.26,-0.925
128,2571.43,750,1.000,2.75,-0.836
129,2571.43,46,1.000,0.17,-0.990
130,2549.37,6226,1.000,23.62,0.408
131,2535.71,1696,1.000,6.57,-0.608
132,2485.29,24473,0.999,94.84,4.654
133,2446.43,1,1.000,0.00,-1.000
136,2419.39,8652,1.000,35.21,1.099
138,2410.71,66,1.000,0.26,-0.985
139,2409.58,63,1.000,0.25,-0.985
140,2383.93,9215,1.000,35.71,1.129
142,2347.19,9584,1.000,37.14,1.214
143,2321.43,314,1.000,1.22,-0.927
144,2302.66,13128,1.000,50.87,2.033
145,2277.53,24,1.000,0.09,-0.994
146,2258.73,9405,1.000,35.66,1.126
147,2250.00,3,1.000,0.01,-0.999
148,2228.76,6004,1.000,22.04,0.314
149,2214.29,859,1.000,3.15,-0.812
150,2196.76,10401,1.000,38.19,1.276
151,2178.57,2182,1.000,8.01,-0.522
152,2161.04,599,1.000,2.20,-0.869
153,2160.71,3596,1.000,13.20,-0.213
154,2135.70,10390,1.000,38.14,1.274
155,2118.45,30,1.000,0.11,-0.993
156,2097.74,9887,1.000,36.30,1.164
157,2071.43,85,1.000,0.31,-0.981
158,2062.20,9494,1.000,34.86,1.078
159,2035.71,2245,1.000,8.24,-0.509
160,2014.57,12325,1.000,45.25,1.697
162,1979.23,5813,1.000,21.34,0.272
163,1964.29,1015,1.000,3.73,-0.778
164,1943.34,12747,1.000,46.80,1.790
165,1910.71,1142,1.000,4.19,-0.750
166,1895.59,10466,1.000,38.42,1.291
167,1875.00,884,1.000,3.25,-0.807
168,1875.00,1981,1.000,7.27,-0.566
170,1848.51,9415,1.000,34.57,1.061
171,1839.15,260,1.000,0.95,-0.943
172,1821.62,4918,1.000,18.06,0.076
173,1803.57,1655,1.000,6.08,-0.638
174,1792.93,7939,1.000,29.15,0.737
175,1775.35,317,1.000,1.16,-0.931
176,1766.58,5041,1.000,18.51,0.103
177,1750.00,655,1.000,2.40,-0.857
178,1731.39,13112,1.000,48.14,1.870
179,1700.68,1966,1.000,7.22,-0.570
180,1658.35,22822,1.000,83.79,3.995
181,1606.99,4835,1.000,17.75,0.058
182,1581.09,9160,1.000,33.63,1.005
183,1571.43,245,1.000,0.90,-0.946
184,1545.60,10036,1.000,36.85,1.196
185,1530.93,56,1.000,0.21,-0.988
186,1508.92,9712,1.000,35.66,1.126
187,1482.14,18,1.000,0.07,-0.996
188,1481.85,4807,1.000,17.65,0.052
189,1464.93,3266,1.000,11.99,-0.285
190,1446.11,8285,1.000,30.42,0.813
191,1428.57,2196,1.000,8.06,-0.519
192,1418.42,2049,1.000,7.52,-0.552
193,1409.24,4031,1.000,14.80,-0.118
194,1383.65,9353,1.000,34.34,1.047
195,1374.21,45,1.000,0.17,-0.990
196,1353.39,6182,1.000,22.38,0.334
197,1339.29,3171,1.000,11.06,-0.341
198,1315.96,9258,1.000,32.29,0.925
199,1303.57,286,1.000,1.00,-0.941
200,1290.92,4624,1.000,16.13,-0.039
201,1285.71,471,1.000,1.64,-0.902
202,1264.94,9402,1.000,32.79,0.955
203,1250.00,2088,1.000,7.28,-0.566
204,1222.30,10855,1.000,37.86,1.257
205,1196.43,421,1.000,1.47,-0.912
206,1186.86,9060,1.000,31.60,0.884
207,1169.30,553,1.000,1.93,-0.885
208,1160.07,5011,1.000,17.48,0.042
209,1142.96,667,1.000,2.33,-0.861
210,1124.82,13800,1.000,48.13,1.869
211,1106.24,376,1.000,1.31,-0.922
212,1082.67,9255,1.000,32.28,0.924
213,1071.43,1193,1.000,4.16,-0.752
214,1047.69,8022,1.000,27.98,0.668
215,1032.30,2904,1.000,10.13,-0.396
216,1014.40,5662,1.000,19.84,0.182
217,1000.00,3792,1.000,13.53,-0.193
218,982.04,4943,1.000,18.14,0.081
219,965.40,2871,1.000,10.54,-0.372
220,943.23,10872,1.000,39.91,1.379
221,928.57,473,1.000,1.74,-0.896
222,902.26,10325,1.000,37.91,1.260
223,876.99,206,1.000,0.76,-0.955
224,875.47,1720,1.000,6.31,-0.624
225,875.01,2611,1.000,9.59,-0.429
226,874.39,147,1.000,0.54,-0.968
227,856.85,4628,1.000,16.99,0.013
228,828.71,10913,1.000,40.06,1.388
