code,t_ps,n,concentration,bin_width_ps,dnl_lsb
90,3232.12,4859,1.000,17.84,0.051
91,3218.65,45,1.000,0.17,-0.990
92,3201.93,11097,1.000,40.74,1.401
93,3178.57,2209,1.000,8.11,-0.522
94,3164.29,6128,1.000,22.50,0.326
95,3140.74,5490,1.000,20.16,0.188
96,3125.08,1796,1.000,6.59,-0.611
97,3125.00,2424,1.000,8.90,-0.476
98,3098.19,9735,1.000,35.74,1.106
99,3071.44,1395,1.000,5.12,-0.698
100,3033.55,22904,1.000,84.09,3.955
101,3000.00,13,1.000,0.05,-0.997
102,2976.90,6887,1.000,25.28,0.490
103,2964.29,607,1.000,2.23,-0.869
104,2948.45,8386,1.000,30.79,0.814
105,2928.57,2978,1.000,10.93,-0.356
106,2905.62,8479,1.000,31.13,0.834
107,2892.86,606,1.000,2.22,-0.869
108,2892.86,714,1.000,2.62,-0.846
110,2876.75,5392,1.000,19.80,0.166
112,2851.77,6957,1.000,25.54,0.505
113,2839.29,2198,1.000,8.07,-0.525
114,2821.89,5858,1.000,21.51,0.267
115,2803.57,3421,1.000,12.56,-0.260
116,2788.81,5886,1.000,21.61,0.273
117,2767.86,25,1.000,0.09,-0.995
118,2756.22,10787,1.000,39.60,1.334
119,2732.14,402,1.000,1.48,-0.913
120,2703.14,17968,1.000,65.97,2.887
121,2661.28,127,1.000,0.47,-0.973
122,2643.67,13716,1.000,50.36,1.967
123,2625.00,751,1.000,2.76,-0.838
126,2601.22,7276,1.000,26.71,0.574
127,2589.29,2377,1.000,8.73,-0.486
128,2562.91,9587,1.000,35.65,1.101
129,2541.80,264,1.000,1.01,-0.940
130,2527.13,8540,1.000,33.09,0.950
131,2505.10,1759,1.000,6.82,-0.598
132,2490.53,7136,1.000,27.65,0.629
133,2482.14,307,1.000,1.19,-0.930
134,2456.80,9707,1.000,37.62,1.217
135,2438.72,44,1.000,0.17,-0.990
136,2428.57,4577,1.000,17.74,0.045
137,2413.39,80,1.000,0.31,-0.982
138,2399.88,9823,1.000,38.07,1.243
139,2375.00,1133,1.000,4.39,-0.741
140,2354.83,11723,1.000,45.43,1.677
141,2339.22,280,1.000,1.09,-0.936
142,2312.54,9226,1.000,35.75,1.107
143,2292.41,8,1.000,0.03,-0.998
144,2279.22,7231,1.000,28.02,0.651
145,2267.48,2021,1.000,7.82,-0.539
146,2250.01,4770,1.000,17.71,0.043
147,2232.14,1247,1.000,4.58,-0.730
148,2212.62,13340,1.000,48.97,1.886
149,2186.69,11,1.000,0.04,-0.998
150,2169.70,9657,1.000,35.45,1.089
151,2153.25,110,1.000,0.40,-0.976
152,2142.91,344,1.000,1.26,-0.926
153,2142.15,4245,1.000,15.58,-0.082
154,2117.69,9293,1.000,34.12,1.010
155,2106.90,447,1.000,1.64,-0.903
156,2080.93,9958,1.000,36.56,1.154
157,2053.57,4392,1.000,16.12,-0.050
158,2031.72,7449,1.000,27.35,0.611
159,2017.86,1712,1.000,6.29,-0.630
160,1997.92,7828,1.000,28.74,0.693
161,1981.24,3058,1.000,11.23,-0.338
162,1954.24,9985,1.000,36.66,1.160
163,1928.57,1104,1.000,4.05,-0.761
164,1916.71,8692,1.000,31.91,0.880
165,1892.86,161,1.000,0.59,-0.965
166,1883.32,9111,1.000,33.45,0.971
168,1857.14,1390,1.000,5.10,-0.699
169,1857.14,636,1.000,2.33,-0.862
170,1836.65,12369,1.000,45.41,1.676
171,1817.37,255,1.000,0.94,-0.945
172,1797.54,7255,1.000,26.64,0.569
173,1785.71,426,1.000,1.56,-0.908
174,1764.51,10880,1.000,39.94,1.354
175,1750.00,234,1.000,0.86,-0.949
176,1715.79,15125,1.000,55.53,2.272
177,1678.85,4611,1.000,16.93,-0.003
178,1651.97,10115,1.000,37.14,1.188
179,1627.31,2167,1.000,7.96,-0.531
180,1594.79,17196,1.000,63.13,2.720
181,1568.80,34,1.000,0.12,-0.993
182,1545.64,8745,1.000,32.11,0.892
183,1535.71,812,1.000,2.98,-0.824
184,1535.40,112,1.000,0.41,-0.976
185,1526.79,112,1.000,0.41,-0.976
186,1508.88,9668,1.000,35.49,1.091
187,1500.00,2,1.000,0.01,-1.000
188,1482.14,1302,1.000,4.78,-0.718
189,1482.08,3160,1.000,11.60,-0.316
190,1456.20,10215,1.000,37.50,1.210
191,1428.60,2695,1.000,9.89,-0.417
192,1426.65,2335,1.000,8.57,-0.495
193,1410.71,2323,1.000,8.53,-0.497
194,1389.88,11330,1.000,41.60,1.451
195,1375.00,368,1.000,1.35,-0.920
196,1350.05,9167,1.000,32.85,0.935
197,1339.29,758,1.000,2.64,-0.844
198,1313.53,10622,1.000,37.05,1.183
199,1288.54,120,1.000,0.42,-0.975
200,1285.71,336,1.000,1.17,-0.931
201,1285.71,3406,1.000,11.88,-0.300
202,1268.87,7264,1.000,25.33,0.493
203,1250.00,2215,1.000,7.73,-0.545
204,1226.00,12967,1.000,45.23,1.665
205,1196.43,783,1.000,2.73,-0.839
206,1186.01,8753,1.000,30.53,0.799
207,1161.53,372,1.000,1.30,-0.924
208,1160.71,4373,1.000,15.25,-0.101
209,1160.41,293,1.000,1.02,-0.940
210,1133.86,10465,1.000,36.50,1.151
211,1107.16,1316,1.000,4.59,-0.730
212,1083.10,15956,1.000,55.65,2.279
213,1053.57,1416,1.000,4.94,-0.709
214,1035.87,8374,1.000,29.21,0.721
215,1017.85,1882,1.000,6.56,-0.613
216,1004.70,6261,1.000,22.21,0.309
217,1000.00,390,1.000,1.39,-0.918
218,976.59,7062,1.000,25.93,0.528
219,964.28,2220,1.000,8.15,-0.520
220,947.92,5231,1.000,19.20,0.132
221,933.62,315,1.000,1.16,-0.932
222,918.50,9835,1.000,36.11,1.128
223,892.88,2783,1.000,10.22,-0.398
224,879.71,6600,1.000,24.23,0.428
225,875.00,3,1.000,0.01,-0.999
226,856.33,4990,1.000,18.32,0.079
227,840.93,1021,1.000,3.75,-0.779
228,827.78,9078,1.000,33.33,0.964
229,803.57,3699,1.000,13.58,-0.200
230,787.85,5508,1.000,20.22,0.192
231,768.15,1976,1.000,7.25,-0.573
232,753.47,8951,1.000,32.86,0.936
233,732.09,1109,1.000,4.07,-0.760
234,710.91,12306,1.000,45.18,1.662
235,680.63,424,1.000,1.56,-0.908
236,678.53,4332,1.000,15.90,-0.063
237,676.34,56,1.000,0.21,-0.988
238,647.53,11673,1.000,42.85,1.525
239,625.27,2945,1.000,10.81,-0.363
240,607.55,1243,1.000,4.56,-0.731
241,607.10,2660,1.000,9.77,-0.425
242,585.87,8471,1.000,31.10,0.832
243,571.43,1703,1.000,6.25,-0.632
244,545.81,10356,1.000,38.02,1.240
245,518.12,538,1.000,1.98,-0.884
246,508.32,9105,1.000,33.43,0.970
247,482.14,2,1.000,0.01,-1.000
248,482.14,2177,1.000,7.99,-0.529
249,481.95,2041,1.000,7.49,-0.558
250,457.02,10371,1.000,38.07,1.244
251,428.90,1313,1.000,4.82,-0.716
252,405.60,14735,1.000,54.10,2.188
253,375.00,3073,1.000,11.28,-0.335
254,356.13,5832,1.000,21.41,0.262
255,339.63,1816,1.000,6.67,-0.607
256,335.58,3048,1.000,11.19,-0.341
257,321.23,4270,1.000,15.68,-0.076
258,303.60,4796,1.000,17.61,0.037
259,285.99,2056,1.000,7.55,-0.555
