code,t_ps,n,concentration,bin_width_ps,dnl_lsb
1,4777.16,10383,1.000,53.57,2.142
2,4732.14,15364,1.000,53.59,2.143
3,4678.86,15114,1.000,52.71,2.091
4,4634.55,10483,1.000,36.56,1.144
6,4598.21,10240,1.000,35.71,1.095
7,4571.43,2,1.000,0.01,-1.000
8,4571.43,5033,1.000,17.55,0.029
9,4571.43,85,1.000,0.30,-0.983
10,4551.90,5650,1.000,19.71,0.156
11,4535.71,1641,1.000,5.72,-0.664
12,4514.92,13189,1.000,46.00,1.698
14,4473.83,9577,1.000,33.40,0.959
15,4464.29,518,1.000,1.81,-0.894
16,4463.92,148,1.000,0.52,-0.970
17,4446.43,65,1.000,0.23,-0.987
18,4437.44,10172,1.000,35.48,1.081
19,4410.71,5,1.000,0.02,-0.999
20,4392.86,15349,1.000,53.53,2.140
21,4375.00,6,1.000,0.02,-0.999
22,4348.86,9545,1.000,33.29,0.952
23,4339.29,577,1.000,2.01,-0.882
24,4321.83,5238,1.000,18.27,0.071
25,4303.57,1,1.000,0.00,-1.000
26,4294.64,10239,1.000,35.71,1.094
30,4258.93,10240,1.000,35.71,1.095
32,4221.90,10767,1.000,37.55,1.202
33,4196.43,4593,1.000,16.02,-0.061
34,4174.32,6720,1.000,23.44,0.375
35,4160.71,1553,1.000,5.42,-0.682
36,4138.24,12207,1.000,42.57,1.497
37,4107.14,20,1.000,0.07,-0.996
38,4089.95,14772,1.000,51.52,2.022
39,4071.43,335,1.000,1.17,-0.931
40,4054.36,5248,1.000,18.30,0.073
41,4053.57,105,1.000,0.37,-0.979
42,4032.24,6356,1.000,22.17,0.300
43,4017.60,3940,1.000,13.74,-0.194
44,4000.00,5064,1.000,17.66,0.036
45,3982.14,90,1.000,0.31,-0.982
46,3968.87,12077,1.000,42.12,1.470
47,3946.43,3143,1.000,10.96,-0.357
48,3919.77,10290,1.000,35.89,1.105
49,3892.86,5120,1.000,17.86,0.047
50,3875.00,5120,1.000,17.86,0.047
52,3857.14,140,1.000,0.49,-0.971
53,3857.14,4373,1.000,15.25,-0.106
54,3831.86,10846,1.000,37.83,1.218
55,3821.43,1,1.000,0.00,-1.000
56,3797.68,7642,1.000,26.65,0.563
57,3785.71,1291,1.000,4.50,-0.736
58,3766.98,8132,1.000,28.36,0.663
59,3750.00,504,1.000,1.76,-0.897
60,3709.84,23902,1.000,83.36,3.889
61,3660.71,338,1.000,1.18,-0.931
62,3641.81,14511,1.000,50.61,1.968
65,3607.14,6,1.000,0.02,-0.999
66,3595.05,11602,1.000,40.46,1.373
67,3571.43,745,1.000,2.60,-0.848
68,3564.24,5035,1.000,17.56,0.030
69,3553.57,3037,1.000,10.59,-0.379
70,3527.55,9631,1.000,33.59,0.970
71,3517.86,485,1.000,1.69,-0.901
72,3500.60,5299,1.000,18.48,0.084
73,3482.14,125,1.000,0.44,-0.974
74,3468.08,12465,1.000,43.47,1.550
75,3446.43,2752,1.000,9.60,-0.437
76,3428.69,2759,1.000,9.62,-0.436
77,3428.57,1799,1.000,6.27,-0.632
78,3413.11,4314,1.000,15.05,-0.118
79,3410.71,1385,1.000,4.83,-0.717
80,3392.86,4963,1.000,17.31,0.015
82,3375.54,5214,1.000,18.18,0.067
83,3375.00,64,1.000,0.22,-0.987
84,3339.29,15360,1.000,53.57,2.142
85,3303.57,3,1.000,0.01,-0.999
86,3295.12,9715,1.000,33.88,0.987
87,3285.71,414,1.000,1.44,-0.915
88,3266.21,5877,1.000,20.50,0.202
89,3250.00,4406,1.000,15.37,-0.099
90,3232.39,4737,1.000,16.52,-0.031
91,3232.14,413,1.000,1.44,-0.916
92,3198.90,13587,1.000,47.39,1.779
93,3178.57,1417,1.000,4.94,-0.710
94,3157.71,7094,1.000,24.74,0.451
95,3141.42,3820,1.000,13.32,-0.219
96,3116.00,9797,1.000,34.17,1.004
97,3106.39,142,1.000,0.50,-0.971
98,3080.20,10341,1.000,36.07,1.115
99,3053.57,1106,1.000,3.86,-0.774
100,3053.57,3929,1.000,13.70,-0.196
101,3035.76,721,1.000,2.51,-0.853
102,3029.25,6896,1.000,24.05,0.411
103,3017.67,2653,1.000,9.25,-0.457
104,2987.13,11964,1.000,41.73,1.447
105,2964.28,3364,1.000,11.73,-0.312
106,2942.60,6529,1.000,22.77,0.335
107,2928.57,3501,1.000,12.21,-0.284
108,2893.35,15574,1.000,54.32,2.186
110,2848.37,10065,1.000,35.10,1.059
111,2839.29,157,1.000,0.55,-0.968
112,2820.89,5316,1.000,18.54,0.087
113,2803.57,2767,1.000,9.65,-0.434
114,2790.96,7319,1.000,25.53,0.497
115,2767.86,1303,1.000,4.54,-0.733
116,2767.27,3922,1.000,13.68,-0.198
117,2750.00,68,1.000,0.24,-0.986
118,2740.52,10179,1.000,35.50,1.082
119,2711.68,5849,1.000,20.40,0.196
120,2676.15,15084,1.000,52.61,2.085
121,2642.86,1539,1.000,5.37,-0.685
122,2631.59,8112,1.000,28.29,0.659
124,2591.48,13677,1.000,47.70,1.798
125,2571.43,1599,1.000,5.58,-0.673
126,2549.34,6930,1.000,24.17,0.417
127,2535.71,506,1.000,1.76,-0.896
128,2535.71,670,1.000,2.34,-0.863
129,2535.71,998,1.000,3.48,-0.796
