code,t_ps,n,concentration,bin_width_ps,dnl_lsb
1,4758.82,10280,1.000,35.85,1.118
2,4712.86,15935,1.000,55.58,2.283
3,4677.05,4924,1.000,17.17,0.015
4,4660.71,4632,1.000,16.16,-0.046
5,4640.19,6180,1.000,21.55,0.273
6,4625.00,4129,1.000,14.40,-0.149
8,4607.14,3983,1.000,13.89,-0.179
9,4593.00,5468,1.000,19.07,0.127
10,4573.81,5909,1.000,20.61,0.218
11,4553.57,10,1.000,0.03,-0.998
12,4538.93,13001,1.000,45.34,1.679
13,4517.86,2230,1.000,7.78,-0.541
14,4500.41,5239,1.000,18.27,0.079
16,4474.25,9180,1.000,32.02,0.891
17,4458.25,1601,1.000,5.58,-0.670
18,4437.00,9699,1.000,33.83,0.998
20,4410.70,5125,1.000,17.87,0.056
21,4392.86,4851,1.000,16.92,-0.000
22,4375.88,5384,1.000,18.78,0.109
24,4348.57,9845,1.000,34.34,1.029
25,4339.29,395,1.000,1.38,-0.919
26,4312.95,9749,1.000,34.00,1.009
27,4303.57,491,1.000,1.71,-0.899
28,4272.75,12058,1.000,42.05,1.484
29,4250.00,3094,1.000,10.79,-0.362
30,4232.90,4899,1.000,17.09,0.009
31,4232.14,426,1.000,1.49,-0.912
32,4216.61,23,1.000,0.08,-0.995
33,4214.29,4697,1.000,16.38,-0.032
34,4197.73,5524,1.000,19.27,0.138
35,4178.57,156,1.000,0.54,-0.968
36,4152.43,19694,1.000,68.69,3.058
37,4125.00,619,1.000,2.16,-0.872
38,4098.24,10250,1.000,35.75,1.112
39,4071.43,29,1.000,0.10,-0.994
40,4064.55,8283,1.000,28.89,0.707
41,4053.57,1694,1.000,5.91,-0.651
42,4033.52,6369,1.000,22.21,0.312
43,4017.86,4090,1.000,14.26,-0.157
44,3991.12,10238,1.000,35.71,1.109
45,3964.46,1804,1.000,6.29,-0.628
46,3953.35,8493,1.000,29.62,0.750
47,3928.57,197,1.000,0.69,-0.959
48,3928.49,4904,1.000,17.10,0.010
49,3910.71,371,1.000,1.29,-0.924
50,3892.39,14968,1.000,52.20,2.084
52,3857.14,1283,1.000,4.47,-0.736
53,3857.14,3819,1.000,13.32,-0.213
54,3830.40,10258,1.000,35.78,1.114
55,3803.57,8,1.000,0.03,-0.998
56,3803.57,5112,1.000,17.83,0.053
58,3776.79,10239,1.000,35.71,1.110
59,3750.44,41,1.000,0.14,-0.992
60,3735.28,12995,1.000,45.32,1.678
61,3714.29,2297,1.000,8.01,-0.527
62,3687.65,10180,1.000,35.51,1.098
63,3678.57,60,1.000,0.21,-0.988
64,3651.57,10366,1.000,36.15,1.136
65,3625.30,1147,1.000,4.00,-0.764
66,3617.50,6681,1.000,23.30,0.377
67,3607.14,1667,1.000,5.81,-0.657
68,3583.37,9591,1.000,33.45,0.976
69,3571.43,1225,1.000,4.27,-0.748
70,3552.22,5693,1.000,19.86,0.173
71,3535.71,4535,1.000,15.82,-0.066
72,3511.37,8305,1.000,28.97,0.711
73,3500.00,2009,1.000,7.01,-0.586
74,3482.19,3757,1.000,13.10,-0.226
75,3479.07,1657,1.000,5.78,-0.659
76,3455.48,9538,1.000,33.27,0.965
77,3446.43,409,1.000,1.43,-0.916
78,3421.51,8497,1.000,29.64,0.751
79,3410.71,1061,1.000,3.70,-0.781
80,3394.96,5813,1.000,20.27,0.198
81,3375.29,184,1.000,0.64,-0.962
82,3366.63,9287,1.000,32.39,0.914
83,3343.28,3421,1.000,11.93,-0.295
84,3329.01,5806,1.000,20.25,0.196
85,3321.43,1745,1.000,6.09,-0.640
86,3298.23,7400,1.000,25.81,0.525
87,3285.71,2042,1.000,7.12,-0.579
88,3267.92,6762,1.000,23.58,0.393
89,3250.00,1011,1.000,3.53,-0.792
90,3238.93,8492,1.000,29.62,0.750
91,3214.29,264,1.000,0.92,-0.946
92,3198.30,13292,1.000,46.36,1.739
93,3178.57,1358,1.000,4.74,-0.720
94,3161.04,5762,1.000,20.10,0.187
95,3136.80,7339,1.000,25.60,0.512
96,3125.00,1779,1.000,6.20,-0.633
97,3124.98,854,1.000,2.98,-0.824
98,3097.99,10325,1.000,36.01,1.127
99,3071.43,2908,1.000,10.14,-0.401
100,3049.24,12369,1.000,43.14,1.549
101,3017.86,33,1.000,0.12,-0.993
102,3008.90,10204,1.000,35.59,1.102
104,2979.53,5999,1.000,20.92,0.236
105,2964.29,3445,1.000,12.02,-0.290
106,2940.26,10257,1.000,35.77,1.113
107,2928.43,784,1.000,2.73,-0.838
108,2902.09,9899,1.000,34.52,1.040
109,2892.73,271,1.000,0.95,-0.944
110,2875.23,5185,1.000,18.08,0.068
112,2850.12,8440,1.000,29.44,0.739
113,2839.29,1518,1.000,5.29,-0.687
114,2819.35,6432,1.000,22.43,0.325
115,2803.57,3590,1.000,12.52,-0.260
116,2787.28,5627,1.000,19.63,0.159
117,2767.86,171,1.000,0.60,-0.965
118,2753.28,12675,1.000,44.21,1.612
