code,t_ps,n,concentration,bin_width_ps,dnl_lsb
53,4999.95,56,1.000,0.094,-0.994
54,4987.82,14442,1.000,24.166,0.440
55,4973.27,2949,1.000,4.935,-0.706
56,4956.45,17164,1.000,28.721,0.712
57,4941.59,589,1.000,0.986,-0.941
58,4925.15,19063,1.000,31.898,0.901
59,4908.94,316,1.000,0.529,-0.968
60,4887.60,25185,1.000,42.142,1.512
61,4866.22,366,1.000,0.612,-0.963
62,4849.12,20073,1.000,33.588,1.002
63,4829.90,2908,1.000,4.866,-0.710
64,4823.49,4753,1.000,7.953,-0.526
65,4817.18,2779,1.000,4.650,-0.723
66,4797.50,20745,1.000,34.713,1.069
67,4779.75,474,1.000,0.793,-0.953
68,4751.85,32874,1.000,55.009,2.279
69,4721.43,3486,1.000,5.833,-0.652
70,4701.74,20047,1.000,33.545,0.999
71,4684.51,550,1.000,0.920,-0.945
72,4683.16,1056,1.000,1.767,-0.895
73,4679.76,3017,1.000,5.048,-0.699
74,4660.53,19966,1.000,33.409,0.991
75,4641.14,3211,1.000,5.373,-0.680
76,4635.29,3772,1.000,6.312,-0.624
77,4630.59,1848,1.000,3.092,-0.816
78,4611.00,21567,1.000,36.088,1.151
79,4590.54,2888,1.000,4.833,-0.712
80,4581.22,8257,1.000,13.817,-0.177
81,4571.00,3948,1.000,6.606,-0.606
82,4553.92,16472,1.000,27.563,0.643
83,4535.76,5234,1.000,8.758,-0.478
84,4506.14,30170,1.000,50.484,2.009
85,4478.78,2535,1.000,4.242,-0.747
86,4461.74,17822,1.000,29.822,0.777
87,4445.98,1018,1.000,1.703,-0.898
88,4431.89,15821,1.000,26.474,0.578
89,4414.62,4825,1.000,8.074,-0.519
90,4397.49,15647,1.000,26.182,0.560
91,4383.34,1264,1.000,2.115,-0.874
92,4359.66,27041,1.000,45.248,1.697
93,4335.48,1857,1.000,3.107,-0.815
94,4318.33,18640,1.000,31.191,0.859
95,4299.34,4067,1.000,6.805,-0.594
96,4282.62,15917,1.000,26.634,0.587
97,4268.62,807,1.000,1.350,-0.920
98,4249.46,22102,1.000,36.984,1.204
99,4229.60,1632,1.000,2.731,-0.837
100,4223.80,5299,1.000,8.867,-0.472
101,4214.71,5564,1.000,9.310,-0.445
