code,t_ps,n,concentration,bin_width_ps,dnl_lsb
50,4943.96,13,1.000,0.022,-0.999
51,4943.75,245,1.000,0.410,-0.975
52,4934.68,10589,1.000,17.719,0.067
53,4922.58,3883,1.000,6.497,-0.609
54,4901.98,20729,1.000,34.686,1.088
55,4882.91,2074,1.000,3.470,-0.791
56,4873.47,9203,1.000,15.400,-0.073
57,4864.01,2106,1.000,3.524,-0.788
58,4845.66,19827,1.000,33.177,0.997
59,4827.28,2140,1.000,3.581,-0.784
60,4808.93,19799,1.000,33.130,0.994
61,4789.81,3044,1.000,5.094,-0.693
62,4772.97,17092,1.000,28.600,0.722
63,4758.04,749,1.000,1.253,-0.925
64,4740.56,20142,1.000,33.704,1.029
65,4722.60,1324,1.000,2.215,-0.867
66,4704.28,20570,1.000,34.420,1.072
67,4686.10,1168,1.000,1.954,-0.882
68,4670.41,17582,1.000,29.420,0.771
69,4653.92,2130,1.000,3.564,-0.785
70,4635.70,19647,1.000,32.876,0.979
71,4616.14,3724,1.000,6.231,-0.625
72,4598.64,17191,1.000,28.766,0.732
73,4581.54,3252,1.000,5.442,-0.672
74,4565.54,15872,1.000,26.559,0.599
75,4547.78,5361,1.000,8.971,-0.460
76,4533.24,12012,1.000,20.100,0.210
77,4521.60,1901,1.000,3.181,-0.809
78,4504.10,19016,1.000,31.820,0.916
79,4487.48,844,1.000,1.412,-0.915
80,4458.73,33524,1.000,56.096,2.377
81,4429.39,1545,1.000,2.585,-0.844
82,4415.17,15449,1.000,25.851,0.556
83,4399.81,2905,1.000,4.861,-0.707
84,4396.59,954,1.000,1.596,-0.904
85,4395.79,0,1.000,0.000,-1.000
86,4379.67,19259,1.000,32.226,0.940
87,4362.15,1683,1.000,2.816,-0.830
88,4345.81,17853,1.000,29.874,0.798
89,4329.93,1120,1.000,1.874,-0.887
90,4310.48,22129,1.000,37.029,1.229
91,4291.29,809,1.000,1.354,-0.919
92,4270.19,24409,1.000,40.844,1.459
93,4248.93,1010,1.000,1.690,-0.898
94,4233.24,17733,1.000,29.673,0.786
95,4211.80,7897,1.000,13.214,-0.205
96,4204.06,1350,1.000,2.259,-0.864
97,4198.71,5053,1.000,8.455,-0.491
98,4178.67,18896,1.000,31.619,0.903
99,4160.31,3043,1.000,5.092,-0.693
100,4134.84,27408,1.000,45.862,1.761
101,4110.90,1205,1.000,2.016,-0.879
102,4093.05,20123,1.000,33.672,1.027
103,4075.80,494,1.000,0.827,-0.950
104,4062.07,15920,1.000,26.639,0.604
105,4046.23,3015,1.000,5.045,-0.696
106,4028.40,18297,1.000,30.617,0.843
107,4009.31,4518,1.000,7.560,-0.545
108,3992.00,16178,1.000,27.071,0.630
109,3977.67,948,1.000,1.586,-0.905
110,3960.06,20099,1.000,33.632,1.025
111,3942.37,1036,1.000,1.734,-0.896
112,3928.11,16019,1.000,26.805,0.614
113,3913.09,1931,1.000,3.231,-0.805
114,3896.93,17384,1.000,29.089,0.751
115,3879.26,3729,1.000,6.240,-0.624
116,3862.24,16615,1.000,27.802,0.674
117,3847.13,1450,1.000,2.426,-0.854
118,3827.52,21990,1.000,36.796,1.215
119,3808.37,897,1.000,1.501,-0.910
120,3782.83,29629,1.000,49.579,1.985
121,3756.44,1912,1.000,3.199,-0.807
122,3738.46,19583,1.000,32.769,0.973
123,3719.13,3519,1.000,5.888,-0.646
124,3715.45,873,1.000,1.461,-0.912
125,3711.44,3917,1.000,6.554,-0.605
126,3693.80,17173,1.000,28.736,0.730
127,3676.70,3260,1.000,5.455,-0.672
128,3639.79,40865,1.000,68.380,3.116
129,3601.46,4947,1.000,8.278,-0.502
130,3584.96,14771,1.000,24.717,0.488
131,3566.93,6774,1.000,11.335,-0.318
132,3559.60,1988,1.000,3.327,-0.800
133,3557.31,757,1.000,1.267,-0.924
134,3539.66,20333,1.000,34.024,1.048
135,3520.04,3116,1.000,5.214,-0.686
136,3511.01,7681,1.000,12.853,-0.226
137,3501.70,3448,1.000,5.770,-0.653
138,3482.00,20093,1.000,33.622,1.024
139,3464.19,1203,1.000,2.013,-0.879
140,3440.64,26937,1.000,45.074,1.713
141,3416.48,1948,1.000,3.260,-0.804
142,3396.68,21715,1.000,36.336,1.187
143,3376.31,2628,1.000,4.397,-0.735
144,3360.36,16434,1.000,27.499,0.655
145,3342.20,5274,1.000,8.825,-0.469
146,3325.97,14127,1.000,23.639,0.423
147,3309.33,5765,1.000,9.647,-0.419
148,3285.15,23126,1.000,38.697,1.330
149,3264.01,2147,1.000,3.593,-0.784
150,3245.33,20182,1.000,33.771,1.033
151,3226.30,2562,1.000,4.287,-0.742
152,3222.77,1657,1.000,2.773,-0.833
153,3217.72,4381,1.000,7.331,-0.559
154,3200.70,15953,1.000,26.694,0.607
155,3186.26,1313,1.000,2.197,-0.868
156,3150.66,41241,1.000,69.009,3.154
157,3110.38,6900,1.000,11.546,-0.305
158,3088.63,19099,1.000,31.959,0.924
159,3071.19,1736,1.000,2.905,-0.825
160,3066.20,4231,1.000,7.080,-0.574
161,3058.57,4889,1.000,8.181,-0.508
162,3038.21,19447,1.000,32.541,0.959
163,3020.59,1618,1.000,2.707,-0.837
164,3003.91,18314,1.000,30.645,0.845
165,2988.21,455,1.000,0.761,-0.954
166,2973.87,16675,1.000,27.903,0.680
167,2955.05,5823,1.000,9.744,-0.413
168,2942.15,9595,1.000,16.055,-0.033
169,2933.57,663,1.000,1.109,-0.933
170,2915.34,21128,1.000,35.354,1.128
171,2893.94,4443,1.000,7.435,-0.552
172,2876.52,16382,1.000,27.412,0.650
173,2862.55,321,1.000,0.537,-0.968
174,2844.15,21662,1.000,36.247,1.182
175,2825.53,602,1.000,1.007,-0.939
176,2803.28,25991,1.000,43.491,1.618
177,2774.21,8748,1.000,14.638,-0.119
178,2750.74,19310,1.000,32.312,0.945
179,2732.53,2455,1.000,4.108,-0.753
180,2710.32,24092,1.000,40.313,1.427
181,2688.22,2314,1.000,3.872,-0.767
182,2670.68,18660,1.000,31.224,0.880
183,2653.13,2315,1.000,3.874,-0.767
184,2636.02,18132,1.000,30.341,0.827
185,2617.83,3606,1.000,6.034,-0.637
186,2599.42,18399,1.000,30.787,0.853
187,2582.98,1249,1.000,2.090,-0.874
188,2573.02,10659,1.000,17.836,0.074
189,2560.91,3817,1.000,6.387,-0.616
190,2539.91,21281,1.000,35.610,1.144
191,2518.85,3887,1.000,6.504,-0.608
192,2508.90,8005,1.000,13.395,-0.194
193,2499.15,3654,1.000,6.114,-0.632
194,2479.51,19820,1.000,33.165,0.997
195,2461.83,1308,1.000,2.189,-0.868
196,2442.10,22280,1.000,37.281,1.244
197,2422.02,1721,1.000,2.880,-0.827
198,2400.94,23472,1.000,39.276,1.364
199,2378.52,3326,1.000,5.565,-0.665
200,2374.90,998,1.000,1.670,-0.899
201,2370.20,4616,1.000,7.724,-0.535
202,2352.21,16895,1.000,28.271,0.702
203,2336.18,2265,1.000,3.790,-0.772
204,2306.85,32786,1.000,54.861,2.303
205,2278.52,1080,1.000,1.807,-0.891
206,2262.50,18061,1.000,30.222,0.819
207,2244.82,3078,1.000,5.150,-0.690
208,2238.24,4784,1.000,8.005,-0.518
209,2232.92,1571,1.000,2.629,-0.842
210,2215.89,18781,1.000,31.427,0.892
211,2198.02,2578,1.000,4.314,-0.740
212,2170.99,29731,1.000,49.749,1.995
213,2144.29,2178,1.000,3.644,-0.781
214,2126.49,19106,1.000,31.970,0.925
215,2108.72,2131,1.000,3.566,-0.785
216,2098.27,10359,1.000,17.334,0.043
217,2085.87,4466,1.000,7.473,-0.550
