code,t_ps,n,concentration,bin_width_ps,dnl_lsb
54,985.82,262,1.000,0.91,-0.946
55,982.14,1886,1.000,6.58,-0.609
56,965.85,10256,1.000,35.77,1.125
57,946.43,870,1.000,3.03,-0.820
58,929.43,8955,1.000,31.23,0.855
59,910.71,309,1.000,1.08,-0.936
60,882.03,17697,1.000,61.72,2.666
61,856.13,193,1.000,0.67,-0.960
62,831.92,10737,1.000,37.45,1.224
63,813.56,143,1.000,0.50,-0.970
64,803.58,3990,1.000,13.92,-0.173
65,803.53,954,1.000,3.33,-0.802
66,777.87,9534,1.000,33.25,0.975
67,767.59,272,1.000,0.95,-0.944
68,751.63,5667,1.000,19.76,0.174
69,732.79,1159,1.000,4.04,-0.760
70,713.28,13818,1.000,48.19,1.863
71,695.75,157,1.000,0.55,-0.967
72,692.71,144,1.000,0.50,-0.970
73,680.50,1169,1.000,4.08,-0.758
74,665.84,10238,1.000,35.71,1.121
75,641.49,3122,1.000,10.89,-0.353
76,630.70,3534,1.000,12.33,-0.268
77,625.47,1217,1.000,4.24,-0.748
78,610.54,6217,1.000,21.68,0.288
79,592.80,1409,1.000,4.91,-0.708
80,587.12,4445,1.000,15.50,-0.079
81,571.46,2560,1.000,8.93,-0.470
82,558.61,7079,1.000,24.69,0.467
83,536.49,1561,1.000,5.44,-0.677
84,515.91,13852,1.000,48.31,1.870
85,482.14,5,1.000,0.02,-0.999
86,473.51,9855,1.000,34.37,1.042
87,461.36,281,1.000,0.98,-0.942
88,439.82,8562,1.000,29.86,0.774
89,428.23,1765,1.000,6.16,-0.634
90,405.30,7432,1.000,25.92,0.540
91,392.83,1299,1.000,4.53,-0.731
92,351.53,21831,1.000,76.14,3.523
93,318.11,183,1.000,0.64,-0.962
94,296.80,8272,1.000,28.85,0.714
95,285.53,1850,1.000,6.45,-0.617
96,260.50,9096,1.000,31.72,0.884
97,250.00,618,1.000,2.16,-0.872
98,248.26,699,1.000,2.44,-0.855
99,232.14,2583,1.000,9.01,-0.465
100,223.76,4650,1.000,16.22,-0.037
101,214.30,1596,1.000,5.57,-0.669
102,213.77,1147,1.000,4.00,-0.762
103,198.11,2442,1.000,8.52,-0.494
104,175.55,13036,1.000,45.47,1.701
105,143.96,1695,1.000,5.91,-0.649
106,131.84,8771,1.000,30.59,0.817
107,107.25,1171,1.000,4.08,-0.757
108,90.11,12163,1.000,42.42,1.520
109,71.37,1499,1.000,5.23,-0.689
110,48.28,8358,1.000,29.15,0.732
111,35.67,819,1.000,2.86,-0.830
112,19.32,7390,1.000,28.70,0.705
113,0.17,1056,1.000,7.33,-0.565
114,4978.79,4815,1.000,28.08,0.668
115,4964.21,1853,1.000,6.47,-0.616
116,4958.41,2460,1.000,8.58,-0.490
117,4947.66,203,1.000,0.71,-0.958
118,4936.69,9076,1.000,31.65,0.880
119,4911.41,4836,1.000,16.87,0.002
120,4885.15,10733,1.000,37.43,1.224
121,4857.14,59,1.000,0.21,-0.988
