code,t_ps,n,concentration,bin_width_ps,dnl_lsb
52,1027.37,477,1.000,1.66,-0.901
53,1017.86,2610,1.000,9.10,-0.456
54,1004.38,6800,1.000,23.72,0.418
55,982.14,229,1.000,0.80,-0.952
56,979.68,5626,1.000,19.62,0.173
57,964.67,1544,1.000,5.39,-0.678
58,946.07,11013,1.000,38.41,1.297
59,928.57,1589,1.000,5.54,-0.669
60,903.51,10133,1.000,35.34,1.113
61,884.33,1102,1.000,3.84,-0.770
62,875.10,4598,1.000,16.04,-0.041
64,848.40,10011,1.000,34.92,1.088
65,835.11,235,1.000,0.82,-0.951
66,812.79,10024,1.000,34.96,1.091
67,803.34,156,1.000,0.54,-0.967
68,781.01,7100,1.000,24.76,0.481
69,767.86,1457,1.000,5.08,-0.696
70,747.15,10199,1.000,35.57,1.127
71,726.19,2585,1.000,9.02,-0.461
72,703.28,9984,1.000,34.82,1.082
73,678.64,2371,1.000,8.27,-0.505
74,665.26,7565,1.000,26.38,0.578
75,641.72,4010,1.000,13.99,-0.164
76,628.41,5983,1.000,20.87,0.248
78,599.35,9084,1.000,31.68,0.895
79,589.18,352,1.000,1.23,-0.927
80,573.84,5909,1.000,20.61,0.232
81,559.12,74,1.000,0.26,-0.985
82,545.12,9596,1.000,33.47,1.001
83,523.02,2041,1.000,7.12,-0.574
84,509.60,6818,1.000,23.78,0.422
85,500.00,1575,1.000,5.49,-0.672
86,481.62,6000,1.000,20.93,0.251
87,465.60,841,1.000,2.93,-0.825
88,452.78,9381,1.000,32.72,0.957
89,428.65,440,1.000,1.53,-0.908
90,414.89,10972,1.000,38.27,1.288
91,392.88,918,1.000,3.20,-0.809
92,375.87,9762,1.000,34.05,1.036
93,357.02,1304,1.000,4.55,-0.728
94,337.04,9832,1.000,34.29,1.051
95,318.12,2628,1.000,9.17,-0.452
96,303.57,790,1.000,2.76,-0.835
97,303.57,3474,1.000,12.12,-0.275
98,283.08,6872,1.000,23.97,0.433
99,267.84,2491,1.000,8.69,-0.480
100,244.66,10800,1.000,37.67,1.253
101,228.64,439,1.000,1.53,-0.908
102,206.11,10515,1.000,36.67,1.193
103,182.93,41,1.000,0.14,-0.991
104,173.86,6871,1.000,23.96,0.433
105,160.71,2216,1.000,7.73,-0.538
106,136.77,11045,1.000,38.52,1.304
107,112.95,870,1.000,3.03,-0.819
108,96.96,9884,1.000,34.47,1.061
109,73.09,355,1.000,1.24,-0.926
