code,t_ps,n,concentration,bin_width_ps,dnl_lsb
53,4999.90,124,1.000,0.207,-0.988
54,4986.95,15357,1.000,25.679,0.530
55,4971.59,3021,1.000,5.051,-0.699
56,4955.00,16824,1.000,28.132,0.677
57,4940.47,550,1.000,0.920,-0.945
58,4924.18,18935,1.000,31.662,0.887
59,4908.11,292,1.000,0.488,-0.971
60,4870.68,44476,1.000,74.369,3.432
61,4833.20,351,1.000,0.587,-0.965
62,4816.33,19824,1.000,33.148,0.976
63,4797.37,2858,1.000,4.779,-0.715
64,4789.63,6393,1.000,10.690,-0.363
65,4782.19,2513,1.000,4.202,-0.750
66,4762.75,20729,1.000,34.661,1.066
67,4745.00,505,1.000,0.844,-0.950
68,4734.43,12138,1.000,20.296,0.210
69,4721.42,3429,1.000,5.734,-0.658
70,4701.98,19814,1.000,33.131,0.975
71,4684.84,695,1.000,1.162,-0.931
72,4683.31,1129,1.000,1.888,-0.887
73,4680.11,2700,1.000,4.515,-0.731
74,4661.16,19967,1.000,33.387,0.990
75,4641.94,3020,1.000,5.050,-0.699
76,4636.07,3998,1.000,6.685,-0.602
77,4631.14,1901,1.000,3.179,-0.811
78,4611.42,21683,1.000,36.257,1.161
79,4590.81,2970,1.000,4.966,-0.704
80,4581.48,8191,1.000,13.696,-0.184
81,4571.55,3693,1.000,6.175,-0.632
82,4554.36,16857,1.000,28.187,0.680
83,4535.72,5440,1.000,9.096,-0.458
84,4505.74,30428,1.000,50.879,2.032
85,4478.13,2588,1.000,4.327,-0.742
86,4461.06,17837,1.000,29.826,0.778
87,4445.19,1134,1.000,1.896,-0.887
88,4431.18,15624,1.000,26.125,0.557
89,4414.25,4624,1.000,7.732,-0.539
90,4397.37,15570,1.000,26.035,0.552
91,4383.22,1352,1.000,2.261,-0.865
92,4344.24,45277,1.000,75.709,3.512
93,4304.83,1861,1.000,3.112,-0.815
94,4287.75,18567,1.000,31.046,0.850
95,4268.86,4027,1.000,6.734,-0.599
96,4250.60,17819,1.000,29.796,0.776
97,4235.02,808,1.000,1.351,-0.919
98,4226.67,9176,1.000,15.343,-0.086
99,4214.49,5397,1.000,9.024,-0.462
100,4204.01,7133,1.000,11.927,-0.289
101,4196.54,1809,1.000,3.025,-0.820
102,4193.21,2175,1.000,3.637,-0.783
103,4186.57,5763,1.000,9.636,-0.426
104,4158.66,27624,1.000,46.191,1.753
105,4131.56,4784,1.000,7.999,-0.523
106,4116.18,13611,1.000,22.759,0.356
107,4102.00,3358,1.000,5.615,-0.665
108,4082.91,19476,1.000,32.566,0.941
109,4063.93,3214,1.000,5.374,-0.680
110,4045.54,18782,1.000,31.406,0.872
111,4029.22,743,1.000,1.242,-0.926
112,4016.16,14875,1.000,24.873,0.482
113,4000.43,3946,1.000,6.598,-0.607
114,3978.69,22053,1.000,36.875,1.198
115,3958.15,2518,1.000,4.210,-0.749
116,3952.15,4652,1.000,7.779,-0.536
117,3947.81,543,1.000,0.908,-0.946
118,3933.76,16264,1.000,27.195,0.621
119,3912.61,9032,1.000,15.103,-0.100
120,3881.27,28453,1.000,47.577,1.836
121,3856.54,1127,1.000,1.884,-0.888
122,3840.01,18643,1.000,31.173,0.858
123,3824.06,431,1.000,0.721,-0.957
124,3787.44,43373,1.000,72.525,3.322
125,3748.40,3318,1.000,5.548,-0.669
126,3729.78,18955,1.000,31.695,0.889
127,3713.57,431,1.000,0.721,-0.957
128,3712.91,368,1.000,0.615,-0.963
129,3712.18,503,1.000,0.841,-0.950
130,3695.09,19941,1.000,33.344,0.987
131,3677.44,1165,1.000,1.948,-0.884
132,3659.43,20375,1.000,34.070,1.031
133,3639.66,3271,1.000,5.470,-0.674
134,3623.18,16439,1.000,27.488,0.638
135,3609.11,397,1.000,0.664,-0.960
136,3608.49,344,1.000,0.575,-0.966
137,3608.20,0,1.000,0.000,-1.000
138,3592.00,19372,1.000,32.392,0.931
139,3574.65,1383,1.000,2.313,-0.862
140,3556.80,19966,1.000,33.386,0.990
141,3536.44,4388,1.000,7.337,-0.563
142,3515.54,20612,1.000,34.466,1.054
143,3497.74,681,1.000,1.139,-0.932
144,3471.99,30109,1.000,50.346,2.001
145,3444.86,2345,1.000,3.921,-0.766
146,3427.03,18980,1.000,31.737,0.892
147,3410.46,844,1.000,1.411,-0.916
148,3394.01,18834,1.000,31.493,0.877
149,3377.66,722,1.000,1.207,-0.928
150,3358.66,21995,1.000,36.778,1.192
151,3336.57,4426,1.000,7.401,-0.559
152,3329.15,4452,1.000,7.444,-0.556
153,3322.23,3826,1.000,6.398,-0.619
154,3303.89,18112,1.000,30.286,0.805
155,3287.12,1943,1.000,3.249,-0.806
156,3269.67,18930,1.000,31.653,0.887
157,3253.58,313,1.000,0.523,-0.969
158,3235.88,20864,1.000,34.887,1.079
159,3215.16,3917,1.000,6.550,-0.610
160,3188.87,27529,1.000,46.032,1.744
161,3165.08,927,1.000,1.550,-0.908
162,3151.34,15504,1.000,25.925,0.545
163,3137.39,1185,1.000,1.981,-0.882
164,3114.60,26070,1.000,43.592,1.598
165,3091.56,1481,1.000,2.476,-0.852
166,3074.83,18536,1.000,30.994,0.847
167,3058.65,812,1.000,1.358,-0.919
168,3049.64,9969,1.000,16.669,-0.007
169,3037.25,4854,1.000,8.116,-0.516
170,3017.77,18442,1.000,30.837,0.838
171,3001.16,1426,1.000,2.384,-0.858
172,2989.42,12616,1.000,21.096,0.257
