code,t_ps,n,concentration,bin_width_ps,dnl_lsb
50,5259.54,22,1.000,0.037,-0.998
51,5259.17,426,1.000,0.712,-0.957
52,5248.80,11976,1.000,20.025,0.206
53,5235.50,3932,1.000,6.575,-0.604
54,5215.45,20046,1.000,33.519,1.018
55,5196.89,2150,1.000,3.595,-0.784
56,5187.38,9227,1.000,15.429,-0.071
57,5177.72,2324,1.000,3.886,-0.766
58,5159.36,19640,1.000,32.841,0.977
59,5140.96,2364,1.000,3.953,-0.762
60,5122.33,19926,1.000,33.319,1.006
61,5103.13,3030,1.000,5.067,-0.695
62,5086.19,17238,1.000,28.824,0.735
63,5071.15,747,1.000,1.249,-0.925
64,5053.45,20425,1.000,34.153,1.056
65,5035.33,1248,1.000,2.087,-0.874
66,5017.20,20434,1.000,34.168,1.057
67,4999.07,1258,1.000,2.104,-0.873
68,4983.31,17589,1.000,29.411,0.771
69,4966.86,2084,1.000,3.485,-0.790
70,4948.82,19503,1.000,32.611,0.963
71,4929.26,3891,1.000,6.506,-0.608
72,4911.67,17148,1.000,28.674,0.726
73,4894.68,3166,1.000,5.294,-0.681
74,4878.79,15840,1.000,26.486,0.594
75,4861.05,5383,1.000,9.001,-0.458
76,4846.23,12346,1.000,20.644,0.243
77,4834.29,1934,1.000,3.234,-0.805
78,4817.09,18638,1.000,31.165,0.876
79,4800.94,671,1.000,1.122,-0.932
80,4789.42,13111,1.000,21.923,0.320
81,4777.25,1446,1.000,2.418,-0.854
82,4760.16,18995,1.000,31.762,0.912
83,4738.96,6358,1.000,10.631,-0.360
84,4725.24,10062,1.000,16.825,0.013
85,4714.47,2812,1.000,4.702,-0.717
86,4695.23,20207,1.000,33.789,1.034
87,4676.99,1601,1.000,2.677,-0.839
88,4660.72,17864,1.000,29.871,0.798
89,4644.75,1238,1.000,2.070,-0.875
90,4625.08,22294,1.000,37.278,1.244
91,4605.66,924,1.000,1.545,-0.907
92,4584.19,24767,1.000,41.413,1.493
93,4562.50,1168,1.000,1.953,-0.882
94,4546.77,17648,1.000,29.510,0.776
95,4525.56,7724,1.000,12.915,-0.222
96,4518.36,883,1.000,1.476,-0.911
97,4513.37,5094,1.000,8.518,-0.487
98,4493.30,18911,1.000,31.622,0.904
99,4474.83,3180,1.000,5.317,-0.680
100,4449.24,27423,1.000,45.855,1.760
101,4425.44,1042,1.000,1.742,-0.895
102,4407.80,20064,1.000,33.549,1.020
103,4390.52,601,1.000,1.005,-0.940
104,4376.59,16054,1.000,26.844,0.616
105,4360.76,2882,1.000,4.819,-0.710
106,4343.10,18241,1.000,30.501,0.836
107,4324.05,4542,1.000,7.595,-0.543
108,4306.61,16327,1.000,27.301,0.644
109,4292.22,884,1.000,1.478,-0.911
110,4275.03,19673,1.000,32.896,0.980
111,4257.78,954,1.000,1.595,-0.904
112,4243.50,16136,1.000,26.981,0.624
113,4228.25,2098,1.000,3.508,-0.789
114,4212.02,17321,1.000,28.963,0.744
115,4194.39,3760,1.000,6.287,-0.622
116,4177.49,16459,1.000,27.521,0.657
117,4162.47,1496,1.000,2.501,-0.849
118,4142.83,21996,1.000,36.780,1.214
119,4123.68,918,1.000,1.535,-0.908
120,4098.16,29603,1.000,49.500,1.980
121,4071.68,2065,1.000,3.453,-0.792
122,4053.23,20010,1.000,33.459,1.014
123,4033.54,3540,1.000,5.919,-0.644
124,4029.93,777,1.000,1.299,-0.922
125,4025.97,3956,1.000,6.615,-0.602
126,4008.12,17399,1.000,29.093,0.751
127,3990.69,3441,1.000,5.754,-0.654
128,3970.52,20693,1.000,34.601,1.083
129,3948.99,5056,1.000,8.454,-0.491
130,3932.24,14972,1.000,25.035,0.507
131,3913.97,6880,1.000,11.504,-0.307
132,3889.69,22166,1.000,37.064,1.231
133,3870.59,676,1.000,1.130,-0.932
134,3853.25,20066,1.000,33.553,1.020
135,3833.78,3217,1.000,5.379,-0.676
136,3824.83,7489,1.000,12.523,-0.246
137,3815.63,3521,1.000,5.888,-0.646
138,3795.99,19965,1.000,33.384,1.010
139,3778.39,1085,1.000,1.814,-0.891
140,3755.19,26666,1.000,44.589,1.684
141,3731.24,1989,1.000,3.326,-0.800
142,3711.45,21676,1.000,36.245,1.182
143,3691.23,2511,1.000,4.199,-0.747
144,3675.78,15969,1.000,26.702,0.607
145,3657.85,5470,1.000,9.147,-0.449
146,3641.32,14307,1.000,23.923,0.440
147,3624.62,5665,1.000,9.473,-0.430
148,3600.23,23513,1.000,39.317,1.367
149,3578.90,1999,1.000,3.343,-0.799
150,3560.30,20243,1.000,33.849,1.038
151,3541.32,2464,1.000,4.120,-0.752
152,3537.78,1768,1.000,2.956,-0.822
153,3532.70,4302,1.000,7.193,-0.567
154,3515.59,16169,1.000,27.037,0.628
155,3500.99,1297,1.000,2.169,-0.869
156,3482.27,21090,1.000,35.265,1.123
157,3458.79,6992,1.000,11.691,-0.296
158,3437.01,19064,1.000,31.877,0.919
159,3419.61,1742,1.000,2.913,-0.825
160,3397.53,24664,1.000,41.241,1.483
161,3372.95,4735,1.000,7.918,-0.523
162,3352.56,19654,1.000,32.864,0.978
163,3334.88,1497,1.000,2.503,-0.849
164,3318.00,18697,1.000,31.264,0.882
165,3302.05,374,1.000,0.625,-0.962
166,3287.72,16772,1.000,28.045,0.688
167,3268.83,5824,1.000,9.738,-0.414
168,3256.13,9357,1.000,15.646,-0.058
169,3247.78,629,1.000,1.052,-0.937
170,3229.41,21349,1.000,35.698,1.149
171,3207.64,4683,1.000,7.831,-0.529
172,3189.85,16604,1.000,27.764,0.671
173,3175.68,345,1.000,0.577,-0.965
174,3157.23,21719,1.000,36.317,1.186
175,3138.59,572,1.000,0.956,-0.942
176,3116.12,26311,1.000,43.995,1.649
177,3086.75,8817,1.000,14.743,-0.112
178,3063.13,19435,1.000,32.498,0.956
179,3044.83,2447,1.000,4.092,-0.754
180,3022.91,23775,1.000,39.755,1.393
181,3001.06,2357,1.000,3.941,-0.763
182,2983.58,18550,1.000,31.018,0.867
183,2966.10,2359,1.000,3.945,-0.763
184,2948.73,18420,1.000,30.801,0.854
185,2930.49,3393,1.000,5.674,-0.658
186,2912.26,18408,1.000,30.780,0.853
187,2895.58,1548,1.000,2.588,-0.844
188,2885.90,10026,1.000,16.765,0.009
189,2874.31,3841,1.000,6.423,-0.613
190,2853.19,21418,1.000,35.814,1.156
191,2831.99,3939,1.000,6.586,-0.603
192,2822.06,7946,1.000,13.287,-0.200
193,2812.47,3519,1.000,5.884,-0.646
194,2793.01,19755,1.000,33.033,0.989
195,2775.45,1252,1.000,2.093,-0.874
196,2756.02,21987,1.000,36.765,1.213
197,2736.11,1831,1.000,3.062,-0.816
198,2714.64,23849,1.000,39.878,1.401
199,2691.94,3292,1.000,5.505,-0.669
200,2688.46,873,1.000,1.460,-0.912
201,2683.94,4534,1.000,7.581,-0.544
202,2665.53,17485,1.000,29.237,0.760
