code,t_ps,n,concentration,bin_width_ps,dnl_lsb
84,3339.28,15355,1.000,53.57,2.140
85,3321.43,1,1.000,0.00,-1.000
86,3295.34,9499,1.000,33.13,0.942
87,3285.71,558,1.000,1.95,-0.886
88,3266.10,6085,1.000,21.22,0.244
89,3250.00,4320,1.000,15.07,-0.117
90,3232.21,4934,1.000,17.21,0.009
91,3231.87,196,1.000,0.68,-0.960
92,3197.66,14391,1.000,50.19,1.942
93,3178.57,823,1.000,2.87,-0.832
94,3155.76,7515,1.000,26.21,0.537
95,3139.56,3525,1.000,12.29,-0.279
96,3115.54,9521,1.000,33.21,0.947
97,3103.32,84,1.000,0.29,-0.983
98,3079.85,10427,1.000,36.37,1.132
99,3053.57,1452,1.000,5.06,-0.703
100,3053.57,3471,1.000,12.11,-0.290
101,3035.71,1183,1.000,4.13,-0.758
102,3027.59,7221,1.000,25.18,0.476
103,3017.04,1923,1.000,6.71,-0.607
104,2985.16,12989,1.000,45.30,1.656
105,2964.15,2300,1.000,8.02,-0.530
106,2940.50,7640,1.000,26.65,0.562
107,2928.57,2543,1.000,8.87,-0.480
108,2902.06,10091,1.000,35.19,1.063
109,2883.68,389,1.000,1.36,-0.920
110,2875.00,4920,1.000,17.16,0.006
112,2838.37,15765,1.000,54.98,2.223
113,2803.57,3251,1.000,11.34,-0.335
114,2789.42,6666,1.000,23.25,0.363
115,2767.86,1834,1.000,6.40,-0.625
116,2765.96,3584,1.000,12.50,-0.267
117,2750.00,196,1.000,0.68,-0.960
118,2739.66,9998,1.000,34.87,1.044
119,2709.69,6448,1.000,22.49,0.318
120,2673.62,14937,1.000,52.10,2.054
121,2642.85,1685,1.000,5.88,-0.655
122,2630.36,7316,1.000,25.52,0.496
123,2607.14,1,1.000,0.00,-1.000
124,2607.14,1175,1.000,4.10,-0.760
125,2607.14,3370,1.000,11.75,-0.311
126,2581.79,10798,1.000,37.66,1.208
127,2571.43,12,1.000,0.04,-0.998
128,2547.33,7883,1.000,27.49,0.612
129,2535.71,704,1.000,2.46,-0.856
130,2513.25,11366,1.000,39.64,1.324
131,2500.00,467,1.000,1.63,-0.905
132,2464.43,15425,1.000,53.80,2.154
133,2428.59,788,1.000,2.75,-0.839
134,2418.92,9421,1.000,32.86,0.926
135,2396.98,130,1.000,0.45,-0.973
136,2392.86,69,1.000,0.24,-0.986
138,2383.78,10071,1.000,35.12,1.059
139,2357.14,1,1.000,0.00,-1.000
140,2348.22,9993,1.000,35.61,1.088
141,2321.94,934,1.000,3.26,-0.809
142,2311.59,9347,1.000,32.60,0.911
143,2285.71,16,1.000,0.06,-0.997
144,2285.71,5089,1.000,17.75,0.041
145,2268.91,34,1.000,0.12,-0.993
146,2258.90,10206,1.000,35.60,1.087
147,2250.00,1,1.000,0.00,-1.000
148,2226.47,7503,1.000,26.17,0.534
149,2214.29,1194,1.000,4.16,-0.756
150,2192.24,10718,1.000,37.38,1.191
151,2178.55,1064,1.000,3.71,-0.782
152,2160.75,997,1.000,3.48,-0.796
153,2160.71,3707,1.000,12.93,-0.242
154,2134.98,10650,1.000,37.14,1.178
155,2111.17,31,1.000,0.11,-0.994
156,2097.25,10591,1.000,36.94,1.166
157,2071.43,166,1.000,0.58,-0.966
158,2061.83,9761,1.000,34.04,0.996
159,2035.71,3218,1.000,11.22,-0.342
160,2013.01,12080,1.000,42.13,1.470
162,1977.15,7105,1.000,24.78,0.453
163,1964.29,1086,1.000,3.79,-0.778
164,1941.07,12652,1.000,44.13,1.587
165,1910.71,1811,1.000,6.32,-0.630
