code,t_ps,n,concentration,bin_width_ps,dnl_lsb
89,3250.00,1,1.000,0.06,-0.997
90,3232.75,5576,1.000,36.12,1.137
91,3214.29,500,1.000,1.74,-0.897
92,3197.66,13183,1.000,45.98,1.720
93,3178.57,1185,1.000,4.13,-0.756
94,3161.14,5703,1.000,19.89,0.176
95,3136.54,7577,1.000,26.43,0.563
96,3125.00,1816,1.000,6.33,-0.625
97,3124.89,627,1.000,2.19,-0.871
98,3097.89,10362,1.000,36.14,1.138
99,3071.43,3215,1.000,11.21,-0.337
100,3048.60,12020,1.000,41.92,1.480
101,3017.86,33,1.000,0.12,-0.993
102,3008.90,10206,1.000,35.60,1.105
104,2978.57,6401,1.000,22.32,0.320
105,2964.29,3397,1.000,11.85,-0.299
106,2939.13,10156,1.000,35.42,1.095
107,2928.24,536,1.000,1.87,-0.889
108,2901.94,10051,1.000,35.06,1.073
109,2892.36,145,1.000,0.51,-0.970
110,2875.13,5154,1.000,17.98,0.063
112,2849.95,8573,1.000,29.90,0.769
113,2839.29,1476,1.000,5.15,-0.696
114,2818.43,6611,1.000,23.06,0.364
115,2803.57,3455,1.000,12.05,-0.287
116,2786.81,5511,1.000,19.22,0.137
117,2767.86,346,1.000,1.21,-0.929
118,2751.92,13196,1.000,46.02,1.722
119,2732.14,473,1.000,1.65,-0.902
120,2699.18,16712,1.000,58.29,2.448
121,2660.71,489,1.000,1.71,-0.899
122,2642.42,14676,1.000,51.19,2.028
123,2625.00,162,1.000,0.57,-0.967
126,2599.49,8964,1.000,31.26,0.849
127,2589.29,1264,1.000,4.41,-0.739
128,2562.54,10246,1.000,35.74,1.114
129,2535.81,1093,1.000,3.81,-0.775
130,2525.78,9083,1.000,31.68,0.874
131,2500.37,3394,1.000,11.84,-0.300
132,2468.09,17102,1.000,59.65,2.528
133,2446.43,39,1.000,0.14,-0.992
134,2428.61,5140,1.000,17.93,0.060
135,2410.71,778,1.000,2.71,-0.840
136,2410.71,4255,1.000,14.84,-0.122
138,2386.59,8141,1.000,28.39,0.679
139,2375.00,1233,1.000,4.30,-0.746
140,2350.52,10955,1.000,38.97,1.305
141,2325.00,85,1.000,0.30,-0.982
142,2312.43,10171,1.000,35.47,1.098
143,2285.71,145,1.000,0.51,-0.970
144,2276.92,9793,1.000,34.16,1.020
145,2254.10,1311,1.000,4.57,-0.730
146,2249.92,4128,1.000,14.40,-0.148
147,2232.14,3870,1.000,13.50,-0.202
148,2208.23,11473,1.000,40.01,1.367
149,2178.57,148,1.000,0.52,-0.969
150,2169.42,10124,1.000,35.31,1.089
151,2142.86,391,1.000,1.36,-0.919
152,2142.85,1672,1.000,5.83,-0.655
153,2138.40,3952,1.000,13.78,-0.185
154,2115.35,9206,1.000,32.11,0.899
155,2097.49,209,1.000,0.73,-0.957
156,2079.53,10442,1.000,36.42,1.154
157,2053.56,4793,1.000,16.72,-0.011
158,2027.54,9519,1.000,33.20,0.964
159,2017.69,659,1.000,2.30,-0.864
160,1992.29,9313,1.000,32.48,0.921
161,1972.33,2245,1.000,7.83,-0.537
162,1949.14,11191,1.000,39.03,1.309
163,1928.57,1709,1.000,5.96,-0.647
164,1908.44,8674,1.000,30.25,0.789
165,1892.86,399,1.000,1.39,-0.918
166,1880.69,7512,1.000,26.20,0.550
168,1857.14,3859,1.000,13.46,-0.204
169,1857.10,420,1.000,1.46,-0.913
170,1832.40,11072,1.000,38.62,1.284
