index,timestamp_dec,timestamp_hex,coarse,fine
1,3810815,0x3A25FF,14885,255
2,203775,0x031BFF,795,255
3,2588927,0x2780FF,10112,255
4,3065087,0x2EC4FF,11972,255
5,2335487,0x23A2FF,9122,255
6,3699711,0x3873FF,14451,255
7,1919487,0x1D49FF,7497,255
8,2066175,0x1F86FF,8070,255
9,1380607,0x1510FF,5392,255
10,39423,0x0099FF,153,255
11,2771455,0x2A49FF,10825,255
12,3889919,0x3B5AFF,15194,255
13,109567,0x01ABFF,427,255
14,1471231,0x1672FF,5746,255
15,2843391,0x2B62FF,11106,255
16,4014079,0x3D3FFF,15679,255
17,2050815,0x1F4AFF,8010,255
18,3022335,0x2E1DFF,11805,255
19,69119,0x010DFF,269,255
20,1198591,0x1249FF,4681,255
21,1659391,0x1951FF,6481,255
22,406015,0x0631FF,1585,255
23,309247,0x04B7FF,1207,255
24,3703295,0x3881FF,14465,255
25,1723903,0x1A4DFF,6733,255
26,2669823,0x28BCFF,10428,255
27,51455,0x00C8FF,200,255
28,2751487,0x29FBFF,10747,255
29,1135615,0x1153FF,4435,255
30,1690623,0x19CBFF,6603,255
31,305407,0x04A8FF,1192,255
32,352767,0x0561FF,1377,255
33,3654399,0x37C2FF,14274,255
34,2681087,0x28E8FF,10472,255
35,3890175,0x3B5BFF,15195,255
36,722687,0x0B06FF,2822,255
37,1377535,0x1504FF,5380,255
38,452095,0x06E5FF,1765,255
39,4021247,0x3D5BFF,15707,255
40,2390527,0x2479FF,9337,255
41,2367743,0x2420FF,9248,255
42,2700543,0x2934FF,10548,255
43,2569471,0x2734FF,10036,255
44,1886975,0x1CCAFF,7370,255
45,2641151,0x284CFF,10316,255
46,3196159,0x30C4FF,12484,255
