index,d_coarse,fine_a,fine_b,valid_a,valid_b,usable,interval_ns
1,0,240,220,0,0,0,0.320
2,0,64,46,1,1,1,0.288
3,0,74,56,0,0,0,0.288
4,0,5,242,1,0,0,-3.792
5,0,254,234,0,0,0,0.320
6,0,38,22,0,0,0,0.256
7,0,158,140,0,0,0,0.288
8,0,163,144,0,0,0,0.304
9,0,140,119,0,0,0,0.336
10,0,102,88,0,0,0,0.224
11,0,240,220,0,0,0,0.320
12,0,117,102,0,0,0,0.240
13,0,240,220,0,0,0,0.320
14,0,185,166,0,0,0,0.304
15,0,140,118,0,0,0,0.352
16,0,54,38,0,0,0,0.256
17,0,184,166,0,0,0,0.288
18,0,214,190,0,0,0,0.384
19,0,208,182,0,0,0,0.416
20,0,198,179,0,0,0,0.304
21,0,222,198,0,0,0,0.384
22,0,30,14,1,1,1,0.256
23,0,160,140,0,0,0,0.320
24,0,14,250,1,0,0,-3.776
25,0,236,216,0,0,0,0.320
26,0,140,118,0,0,0,0.352
27,0,169,150,0,0,0,0.304
28,0,2,241,1,0,0,-3.824
29,0,40,26,0,0,0,0.224
30,0,42,27,0,0,0,0.240
31,0,22,4,1,1,1,0.288
32,0,90,74,0,0,0,0.256
33,0,32,16,1,1,1,0.256
34,0,178,156,0,0,0,0.352
35,0,208,182,0,0,0,0.416
36,0,252,234,0,0,0,0.288
37,0,30,12,1,1,1,0.288
38,0,186,167,0,0,0,0.304
39,0,238,219,0,0,0,0.304
40,0,176,155,0,0,0,0.336
41,0,75,56,0,0,0,0.304
42,0,34,20,0,0,0,0.224
43,0,208,182,0,0,0,0.416
44,0,74,56,1,1,1,0.288
45,0,228,210,0,0,0,0.288
46,0,59,42,0,0,0,0.272
47,0,98,83,0,0,0,0.240
48,0,132,114,0,0,0,0.288
49,0,64,46,0,0,0,0.288
50,0,40,22,1,1,1,0.288
51,0,190,172,0,0,0,0.288
52,0,132,114,0,0,0,0.288
53,0,112,98,0,0,0,0.224
54,0,62,44,1,1,1,0.288
55,0,84,66,0,0,0,0.288
56,0,16,254,1,0,0,-3.808
57,0,64,46,0,0,0,0.288
58,0,198,178,0,0,0,0.320
59,0,200,180,0,0,0,0.320
60,0,182,162,0,0,0,0.320
61,0,166,146,0,0,0,0.320
62,0,30,12,1,1,1,0.288
63,0,132,114,0,0,0,0.288
64,0,102,86,0,0,0,0.256
65,0,42,28,0,0,0,0.224
66,0,114,100,0,0,0,0.224
67,0,214,189,0,0,0,0.400
68,0,250,232,0,0,0,0.288
69,0,126,108,0,0,0,0.288
70,0,159,140,0,0,0,0.304
71,0,10,248,1,0,0,-3.808
72,0,66,48,1,1,1,0.288
73,0,104,88,0,0,0,0.256
74,0,44,26,1,1,1,0.288
75,0,46,26,1,1,1,0.320
76,0,205,182,0,0,0,0.368
77,0,238,220,0,0,0,0.288
78,0,230,210,0,0,0,0.320
79,0,124,106,0,0,0,0.288
80,0,252,234,0,0,0,0.288
81,0,40,20,1,1,1,0.320
82,0,130,113,0,0,0,0.272
83,0,36,20,0,0,0,0.256
84,0,142,124,0,0,0,0.288
85,0,190,172,0,0,0,0.288
86,0,34,16,1,1,1,0.288
87,0,14,252,1,0,0,-3.808
88,0,105,90,0,0,0,0.240
89,0,73,56,0,0,0,0.272
90,0,48,30,1,1,1,0.288
91,0,70,54,0,0,0,0.256
92,0,196,176,0,0,0,0.320
93,0,126,108,0,0,0,0.288
94,0,140,120,0,0,0,0.320
95,0,52,35,0,0,0,0.272
96,0,62,44,1,1,1,0.288
97,0,106,92,0,0,0,0.224
98,0,6,245,1,0,0,-3.824
99,0,244,226,0,0,0,0.288
100,0,146,129,0,0,0,0.272
101,0,129,112,0,0,0,0.272
102,0,40,25,0,0,0,0.240
103,0,44,26,1,1,1,0.288
104,0,30,12,1,1,1,0.288
105,0,140,122,0,0,0,0.288
106,0,44,28,0,0,0,0.256
107,0,22,2,1,1,1,0.320
108,0,114,100,0,0,0,0.224
109,0,140,122,0,0,0,0.288
110,0,193,174,0,0,0,0.304
111,0,223,198,0,0,0,0.400
112,0,132,114,0,0,0,0.288
113,0,86,70,0,0,0,0.256
114,0,76,58,0,0,0,0.288
115,0,214,188,0,0,0,0.416
116,0,142,124,0,0,0,0.288
117,0,42,24,1,1,1,0.288
118,0,62,44,0,0,0,0.288
119,0,94,78,0,0,0,0.256
120,0,243,222,0,0,0,0.336
121,0,30,11,1,1,1,0.304
122,0,102,88,0,0,0,0.224
123,0,82,64,0,0,0,0.288
124,0,208,182,0,0,0,0.416
125,0,248,230,0,0,0,0.288
126,0,24,4,1,1,1,0.320
127,0,196,176,0,0,0,0.320
128,0,78,62,0,0,0,0.256
129,0,154,138,0,0,0,0.256
130,0,64,46,1,1,1,0.288
131,0,40,26,0,0,0,0.224
132,0,254,236,0,0,0,0.288
133,0,140,122,0,0,0,0.288
134,0,184,166,0,0,0,0.288
135,0,74,56,1,1,1,0.288
136,0,86,70,0,0,0,0.256
137,0,66,48,1,1,1,0.288
138,0,154,138,0,0,0,0.256
139,0,212,187,0,0,0,0.400
140,0,166,146,0,0,0,0.320
141,0,225,200,0,0,0,0.400
